duration_us,image_q,predeclared_sequence_count,joint_supported_count,joint_unsupported_count,eta_rho_sample_covariance,eta_rho_sample_correlation,conditioning
250,3,64,64,0,0.00018882838909417148,0.5580646609780233,jointly_supported_predeclared_sequences
250,4,64,64,0,0.00015815474944131421,0.5480187586900936,jointly_supported_predeclared_sequences
250,5,64,64,0,9.291230377122052e-05,0.440430028609219,jointly_supported_predeclared_sequences
250,6,64,64,0,0.0001961507099181303,0.6610501365938177,jointly_supported_predeclared_sequences
250,7,64,64,0,0.00016414853810755523,0.5578380698646079,jointly_supported_predeclared_sequences
250,8,64,64,0,0.00012349911840089757,0.46417603452078404,jointly_supported_predeclared_sequences
250,9,64,64,0,9.200555793420171e-05,0.3245112306958465,jointly_supported_predeclared_sequences
250,10,64,64,0,0.00019690957368731008,0.5981322815962393,jointly_supported_predeclared_sequences
250,11,64,64,0,0.00014254086777712812,0.468871335284771,jointly_supported_predeclared_sequences
250,12,64,64,0,0.00015522598276527765,0.525964000555933,jointly_supported_predeclared_sequences
250,13,64,64,0,0.00014158708148356052,0.551014371702907,jointly_supported_predeclared_sequences
250,14,64,64,0,0.00025818758095859525,0.7301050664418717,jointly_supported_predeclared_sequences
250,15,64,64,0,0.00014373676291151022,0.552612373304614,jointly_supported_predeclared_sequences
300,1,64,64,0,0.0,,jointly_supported_predeclared_sequences
300,2,64,64,0,0.00013298065496516797,0.5780570844351255,jointly_supported_predeclared_sequences
300,3,64,64,0,0.00013230937967532882,0.5717755038304163,jointly_supported_predeclared_sequences
300,4,64,64,0,0.0001951207639636178,0.591867914391336,jointly_supported_predeclared_sequences
300,5,64,64,0,9.83742343665774e-05,0.4060558834643031,jointly_supported_predeclared_sequences
300,6,64,64,0,9.24663865568971e-05,0.43097651210813975,jointly_supported_predeclared_sequences
300,7,64,64,0,9.96991299252543e-05,0.5496104055371213,jointly_supported_predeclared_sequences
300,8,64,64,0,0.0001064218321758918,0.4495385531063649,jointly_supported_predeclared_sequences
300,9,64,64,0,0.00017159134997946556,0.5709043058297619,jointly_supported_predeclared_sequences
300,10,64,64,0,7.652943139163465e-05,0.37872776254725876,jointly_supported_predeclared_sequences
300,11,64,64,0,8.125398237124922e-05,0.37397364220565626,jointly_supported_predeclared_sequences
300,12,64,64,0,0.00013944443324236366,0.4642968424817721,jointly_supported_predeclared_sequences
300,13,64,64,0,7.902838824140071e-05,0.33609900448964447,jointly_supported_predeclared_sequences
300,14,64,64,0,0.00011021973841824125,0.42987740709902533,jointly_supported_predeclared_sequences
300,15,64,64,0,0.0002236847148918713,0.5508138285907498,jointly_supported_predeclared_sequences
350,1,64,64,0,0.0,,jointly_supported_predeclared_sequences
350,2,64,64,0,0.00010563276153413663,0.5589244453549375,jointly_supported_predeclared_sequences
350,3,64,64,0,0.00012745055296446313,0.5295011987191981,jointly_supported_predeclared_sequences
350,4,64,64,0,8.857920243408297e-05,0.4899066800308802,jointly_supported_predeclared_sequences
350,5,64,64,0,0.00011735933446613403,0.5876640695250143,jointly_supported_predeclared_sequences
350,6,64,64,0,0.00010471000928683865,0.4926888849938471,jointly_supported_predeclared_sequences
350,7,64,64,0,9.154686679143571e-05,0.5113243650686071,jointly_supported_predeclared_sequences
350,8,64,64,0,0.00011892063454159713,0.6687714096569362,jointly_supported_predeclared_sequences
350,9,64,64,0,0.00012176012436940423,0.5169829421992621,jointly_supported_predeclared_sequences
350,10,64,64,0,8.496823877740622e-05,0.46821203653050714,jointly_supported_predeclared_sequences
350,11,64,64,0,9.518527154413042e-05,0.4981469182820302,jointly_supported_predeclared_sequences
350,12,64,64,0,0.0001180779743762061,0.5124216192181257,jointly_supported_predeclared_sequences
350,13,64,64,0,0.00015256380008562303,0.525437307385333,jointly_supported_predeclared_sequences
350,14,64,64,0,0.00018975696036887312,0.657730506923256,jointly_supported_predeclared_sequences
350,15,64,64,0,0.00012715757614036534,0.5757485773871034,jointly_supported_predeclared_sequences
400,1,64,64,0,0.0,,jointly_supported_predeclared_sequences
400,2,64,64,0,9.490959500788245e-05,0.5300209805804346,jointly_supported_predeclared_sequences
400,3,64,64,0,0.00014620901089060443,0.6524827321287217,jointly_supported_predeclared_sequences
400,4,64,64,0,0.00011888073279008512,0.5266457424601242,jointly_supported_predeclared_sequences
400,5,64,64,0,7.869052942009402e-05,0.41382287475140084,jointly_supported_predeclared_sequences
400,6,64,64,0,9.303661126669691e-05,0.5035256135364731,jointly_supported_predeclared_sequences
400,7,64,64,0,8.319958413662586e-05,0.45558210601461874,jointly_supported_predeclared_sequences
400,8,64,64,0,6.315524727332053e-05,0.3905519944267603,jointly_supported_predeclared_sequences
400,9,64,64,0,0.00013368658301467155,0.5970389571713312,jointly_supported_predeclared_sequences
400,10,64,64,0,0.00014598340136675654,0.5889836017416268,jointly_supported_predeclared_sequences
400,11,64,64,0,0.00012269088223784195,0.46406572521666806,jointly_supported_predeclared_sequences
400,12,64,64,0,0.00010413186485397806,0.46528074945983816,jointly_supported_predeclared_sequences
400,13,64,64,0,0.0001218291133763123,0.5108232904982652,jointly_supported_predeclared_sequences
400,14,64,64,0,0.00015581031519344265,0.6107508152043661,jointly_supported_predeclared_sequences
400,15,64,64,0,0.00011006335572251357,0.47899145498794016,jointly_supported_predeclared_sequences
