duration_us,draw_id,image_q,h_gain_lower_active,h_gain_upper_active,v_gain_lower_active,v_gain_upper_active,dark_h_floor_active,dark_h_upper_active,dark_v_floor_active,dark_v_upper_active,either_dark_floor_active,reported_active_nuisance_bounds,eta_supported,rho_y_supported,support_interpretation
100,30,6,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,30,7,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,30,8,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,30,9,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,30,10,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,30,11,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,30,12,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,30,13,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,30,14,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,30,15,false,false,false,false,true,false,true,false,true,2,true,true,physical_support_with_dark_floor_reported_separately
100,31,1,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,31,2,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,31,3,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,31,4,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,31,5,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,31,6,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,31,7,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,31,8,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,31,9,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,31,10,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,31,11,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,31,12,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,31,13,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,31,14,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,31,15,false,false,false,false,true,false,false,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,32,1,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,32,2,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
100,32,3,false,false,false,false,false,false,true,false,true,1,true,true,physical_support_with_dark_floor_reported_separately
