duration_us,image_q,observable,predeclared_sequence_count,supported_count,unsupported_count,mean,mean_error_or_bias,sd,q16,median,q84,optimizer_failure_count,residual_failure_count,active_physical_bound_count
25,1,eta,64,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
25,1,rho_y,64,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
25,2,eta,64,64,0,-0.0005245543582757355,0.002340830670489475,0.062237326343174415,-0.0739070204471817,0.0029964150056496774,0.06192642718100529,0,0,0
25,2,rho_y,64,64,0,-0.001180651368529755,-0.0006069082596491682,0.05245909122514554,-0.05331594526915931,0.002147669360287874,0.053171541470212275,0,0,0
25,3,eta,64,64,0,-0.006283396228481753,-0.0005557978753242491,0.04898404619103078,-0.04885630259365155,-0.010884584644859863,0.039814356825191057,0,0,0
25,3,rho_y,64,64,0,0.0003645602147621385,0.001512723325521298,0.05253447266940908,-0.05791681916038428,0.010850298412872494,0.04114718578668136,0,0,0
25,4,eta,64,64,0,-0.011092877474118867,-0.0025062354312918693,0.050009591446374554,-0.0525184383105602,-0.002185083670199983,0.03284959287715311,0,0,0
25,4,rho_y,64,64,0,-0.010026016217765353,-0.008302745148612754,0.05206696685306397,-0.057417966642258664,-0.008335460720562238,0.04713388400984785,0,0,0
25,5,eta,64,64,0,-0.010672328185139085,0.0007701910366455459,0.05819311531943777,-0.0746282690722763,-0.014426065829987456,0.05345077324684183,0,0,0
25,5,rho_y,64,64,0,-0.005090173206906898,-0.0027911135590531905,0.043384738574746055,-0.04639962087787194,-0.00370485925620051,0.04045069265356489,0,0,0
25,6,eta,64,64,0,-0.012603600906882088,0.0016916314517408677,0.061089607437806344,-0.06011213298582061,-0.020695894595883002,0.036390255507131104,0,0,0
25,6,rho_y,64,64,0,-0.00028593124894605963,0.002589598775237111,0.05066508214385369,-0.05189818420567682,-0.0007810659303391088,0.04589311785739662,0,0,0
25,7,eta,64,64,0,-0.032039631003782924,-0.014894850585629,0.051163539526771225,-0.07767632075354625,-0.033220514319822925,0.021658645425688676,0,0,0
25,7,rho_y,64,64,0,-0.013419906040192464,-0.009967182579106304,0.051169965526111326,-0.053216662112300916,-0.013144377700369692,0.031690640947683014,0,0,0
25,8,eta,64,64,0,-0.02563366885431844,-0.0056424991910687915,0.058810148580278325,-0.07085270715345635,-0.031555288736743514,0.020742044691985605,0,0,0
25,8,rho_y,64,64,0,-0.0074387450795119735,-0.003408151406256662,0.0533291953165829,-0.06658231959034115,-0.004223189424011287,0.05308283840685438,0,0,0
25,9,eta,64,64,0,-0.0230808075952375,-0.0002464016600086036,0.051321696070006625,-0.08188954839440417,-0.024437029965385826,0.029589880080730286,0,0,0
25,9,rho_y,64,64,0,0.0036327618955362302,0.008241940337017795,0.04763618930815313,-0.03725300258501572,0.003822563987761096,0.040701577223351854,0,0,0
25,10,eta,64,64,0,-0.028683248006853544,-0.003008768070774468,0.057092184643852406,-0.08615306603923385,-0.026749271872804792,0.03517938902836685,0,0,0
25,10,rho_y,64,64,0,-0.007331297863908598,-0.002142846617689237,0.05713146238673878,-0.08045005731905502,-0.003702068434134731,0.04918847411074912,0,0,0
25,11,eta,64,64,0,-0.03566340483664721,-0.007152005813666715,0.04712420917883617,-0.0778086288691597,-0.040903663112844324,0.006239526206536539,0,0,0
25,11,rho_y,64,64,0,-0.005350556392251243,0.00041789282667114604,0.05315164665710021,-0.05353496881916918,-0.005569959237127442,0.039997452816420156,0,0,0
25,12,eta,64,64,0,-0.029993108785247063,0.0013520572306034047,0.0482752089222119,-0.07004029409606513,-0.027502253640773466,0.013597690218894594,0,0,0
25,12,rho_y,64,64,0,-0.010317232387648135,-0.003968071424192966,0.051994677626422875,-0.057639809262095734,-0.014191938784019864,0.03211399109652874,0,0,0
25,13,eta,64,64,0,-0.037218647013591025,-0.003042631809958238,0.06053350138359273,-0.09324820916761087,-0.02854162392994003,0.01923009611274813,0,0,0
25,13,rho_y,64,64,0,-0.010500394099831717,-0.003569780971235831,0.0636120033540934,-0.0609931824345413,-0.019626743595100027,0.05461107025201214,0,0,0
25,14,eta,64,64,0,-0.031613603729460794,0.005390030433198934,0.05351557418969352,-0.0842770749396947,-0.02538867911110737,0.018753413575613987,0,0,0
25,14,rho_y,64,64,0,-0.00229106788714545,0.005221700190027266,0.0570212043693986,-0.05957563406918511,0.0025648605754808873,0.04244413930286141,0,0,0
25,15,eta,64,64,0,-0.04821178130004271,-0.00838371543891152,0.050481950206242104,-0.09808398237085443,-0.055756250135593044,0.004081648653604789,0,0,0
25,15,rho_y,64,64,0,-0.011937743198184246,-0.003842108373368123,0.047790535880224555,-0.055811464690672455,-0.019805396642457174,0.03504512088794315,0,0,0
100,1,eta,64,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
100,1,rho_y,64,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
100,2,eta,64,64,0,-0.005255946363874933,0.006186572857909698,0.027518923841767826,-0.030767333668851152,-0.003992529645236775,0.0242919901871494,0,0,0
100,2,rho_y,64,64,0,0.0012284311136827389,0.003527490761536446,0.02402097047690044,-0.020338969713399536,0.0007970323508318389,0.02307385510890192,0,0,0
100,3,eta,64,64,0,-0.016945355557480443,0.005889050377748454,0.028560535814026254,-0.04534397952969134,-0.016765144650577712,0.011109197989557703,0,0,0
100,3,rho_y,64,64,0,-0.00113644693145621,0.003472731510025355,0.022739596879208814,-0.02536171066225693,-0.003573790388827325,0.021521142945116076,0,0,0
100,4,eta,64,64,0,-0.03053528252524887,0.0036407326783839157,0.023588605102263537,-0.053605441517354996,-0.030896773815035583,-0.0030574448707048566,0,0,0
100,4,rho_y,64,64,0,-0.006254566838434391,0.0006760462901614951,0.02213419335450193,-0.02817009993506682,-0.005669682473474713,0.01303291268027213,0,0,0
