duration_us,method,draw_id,role,image_q,seed
25,dpfi,2,atom_h,7,20260818:4515:25:2:2:1:7
25,dpfi,2,atom_v,7,20260818:4515:25:2:2:2:7
25,dpfi,2,atom_h,8,20260818:4515:25:2:2:1:8
25,dpfi,2,atom_v,8,20260818:4515:25:2:2:2:8
25,dpfi,2,atom_h,9,20260818:4515:25:2:2:1:9
25,dpfi,2,atom_v,9,20260818:4515:25:2:2:2:9
25,dpfi,2,atom_h,10,20260818:4515:25:2:2:1:10
25,dpfi,2,atom_v,10,20260818:4515:25:2:2:2:10
25,dpfi,2,atom_h,11,20260818:4515:25:2:2:1:11
25,dpfi,2,atom_v,11,20260818:4515:25:2:2:2:11
25,dpfi,2,atom_h,12,20260818:4515:25:2:2:1:12
25,dpfi,2,atom_v,12,20260818:4515:25:2:2:2:12
25,dpfi,2,atom_h,13,20260818:4515:25:2:2:1:13
25,dpfi,2,atom_v,13,20260818:4515:25:2:2:2:13
25,dpfi,2,atom_h,14,20260818:4515:25:2:2:1:14
25,dpfi,2,atom_v,14,20260818:4515:25:2:2:2:14
25,dpfi,2,atom_h,15,20260818:4515:25:2:2:1:15
25,dpfi,2,atom_v,15,20260818:4515:25:2:2:2:15
25,dpfi,3,blank_h,0,20260818:4515:25:2:3:3:0
25,dpfi,3,blank_v,0,20260818:4515:25:2:3:4:0
25,dpfi,3,dark_h,0,20260818:4515:25:2:3:5:0
25,dpfi,3,dark_v,0,20260818:4515:25:2:3:6:0
25,dpfi,3,atom_h,1,20260818:4515:25:2:3:1:1
25,dpfi,3,atom_v,1,20260818:4515:25:2:3:2:1
25,dpfi,3,atom_h,2,20260818:4515:25:2:3:1:2
25,dpfi,3,atom_v,2,20260818:4515:25:2:3:2:2
25,dpfi,3,atom_h,3,20260818:4515:25:2:3:1:3
25,dpfi,3,atom_v,3,20260818:4515:25:2:3:2:3
25,dpfi,3,atom_h,4,20260818:4515:25:2:3:1:4
25,dpfi,3,atom_v,4,20260818:4515:25:2:3:2:4
25,dpfi,3,atom_h,5,20260818:4515:25:2:3:1:5
25,dpfi,3,atom_v,5,20260818:4515:25:2:3:2:5
25,dpfi,3,atom_h,6,20260818:4515:25:2:3:1:6
25,dpfi,3,atom_v,6,20260818:4515:25:2:3:2:6
25,dpfi,3,atom_h,7,20260818:4515:25:2:3:1:7
25,dpfi,3,atom_v,7,20260818:4515:25:2:3:2:7
25,dpfi,3,atom_h,8,20260818:4515:25:2:3:1:8
25,dpfi,3,atom_v,8,20260818:4515:25:2:3:2:8
25,dpfi,3,atom_h,9,20260818:4515:25:2:3:1:9
25,dpfi,3,atom_v,9,20260818:4515:25:2:3:2:9
25,dpfi,3,atom_h,10,20260818:4515:25:2:3:1:10
25,dpfi,3,atom_v,10,20260818:4515:25:2:3:2:10
25,dpfi,3,atom_h,11,20260818:4515:25:2:3:1:11
25,dpfi,3,atom_v,11,20260818:4515:25:2:3:2:11
25,dpfi,3,atom_h,12,20260818:4515:25:2:3:1:12
25,dpfi,3,atom_v,12,20260818:4515:25:2:3:2:12
25,dpfi,3,atom_h,13,20260818:4515:25:2:3:1:13
25,dpfi,3,atom_v,13,20260818:4515:25:2:3:2:13
25,dpfi,3,atom_h,14,20260818:4515:25:2:3:1:14
25,dpfi,3,atom_v,14,20260818:4515:25:2:3:2:14
25,dpfi,3,atom_h,15,20260818:4515:25:2:3:1:15
25,dpfi,3,atom_v,15,20260818:4515:25:2:3:2:15
25,dpfi,4,blank_h,0,20260818:4515:25:2:4:3:0
25,dpfi,4,blank_v,0,20260818:4515:25:2:4:4:0
25,dpfi,4,dark_h,0,20260818:4515:25:2:4:5:0
25,dpfi,4,dark_v,0,20260818:4515:25:2:4:6:0
25,dpfi,4,atom_h,1,20260818:4515:25:2:4:1:1
25,dpfi,4,atom_v,1,20260818:4515:25:2:4:2:1
25,dpfi,4,atom_h,2,20260818:4515:25:2:4:1:2
25,dpfi,4,atom_v,2,20260818:4515:25:2:4:2:2
25,dpfi,4,atom_h,3,20260818:4515:25:2:4:1:3
25,dpfi,4,atom_v,3,20260818:4515:25:2:4:2:3
25,dpfi,4,atom_h,4,20260818:4515:25:2:4:1:4
25,dpfi,4,atom_v,4,20260818:4515:25:2:4:2:4
25,dpfi,4,atom_h,5,20260818:4515:25:2:4:1:5
25,dpfi,4,atom_v,5,20260818:4515:25:2:4:2:5
25,dpfi,4,atom_h,6,20260818:4515:25:2:4:1:6
25,dpfi,4,atom_v,6,20260818:4515:25:2:4:2:6
25,dpfi,4,atom_h,7,20260818:4515:25:2:4:1:7
25,dpfi,4,atom_v,7,20260818:4515:25:2:4:2:7
25,dpfi,4,atom_h,8,20260818:4515:25:2:4:1:8
25,dpfi,4,atom_v,8,20260818:4515:25:2:4:2:8
25,dpfi,4,atom_h,9,20260818:4515:25:2:4:1:9
25,dpfi,4,atom_v,9,20260818:4515:25:2:4:2:9
25,dpfi,4,atom_h,10,20260818:4515:25:2:4:1:10
25,dpfi,4,atom_v,10,20260818:4515:25:2:4:2:10
25,dpfi,4,atom_h,11,20260818:4515:25:2:4:1:11
25,dpfi,4,atom_v,11,20260818:4515:25:2:4:2:11
25,dpfi,4,atom_h,12,20260818:4515:25:2:4:1:12
25,dpfi,4,atom_v,12,20260818:4515:25:2:4:2:12
25,dpfi,4,atom_h,13,20260818:4515:25:2:4:1:13
25,dpfi,4,atom_v,13,20260818:4515:25:2:4:2:13
25,dpfi,4,atom_h,14,20260818:4515:25:2:4:1:14
25,dpfi,4,atom_v,14,20260818:4515:25:2:4:2:14
25,dpfi,4,atom_h,15,20260818:4515:25:2:4:1:15
25,dpfi,4,atom_v,15,20260818:4515:25:2:4:2:15
25,dpfi,5,blank_h,0,20260818:4515:25:2:5:3:0
25,dpfi,5,blank_v,0,20260818:4515:25:2:5:4:0
25,dpfi,5,dark_h,0,20260818:4515:25:2:5:5:0
25,dpfi,5,dark_v,0,20260818:4515:25:2:5:6:0
25,dpfi,5,atom_h,1,20260818:4515:25:2:5:1:1
25,dpfi,5,atom_v,1,20260818:4515:25:2:5:2:1
25,dpfi,5,atom_h,2,20260818:4515:25:2:5:1:2
25,dpfi,5,atom_v,2,20260818:4515:25:2:5:2:2
25,dpfi,5,atom_h,3,20260818:4515:25:2:5:1:3
25,dpfi,5,atom_v,3,20260818:4515:25:2:5:2:3
25,dpfi,5,atom_h,4,20260818:4515:25:2:5:1:4
25,dpfi,5,atom_v,4,20260818:4515:25:2:5:2:4
25,dpfi,5,atom_h,5,20260818:4515:25:2:5:1:5
25,dpfi,5,atom_v,5,20260818:4515:25:2:5:2:5
25,dpfi,5,atom_h,6,20260818:4515:25:2:5:1:6
25,dpfi,5,atom_v,6,20260818:4515:25:2:5:2:6
25,dpfi,5,atom_h,7,20260818:4515:25:2:5:1:7
25,dpfi,5,atom_v,7,20260818:4515:25:2:5:2:7
25,dpfi,5,atom_h,8,20260818:4515:25:2:5:1:8
25,dpfi,5,atom_v,8,20260818:4515:25:2:5:2:8
25,dpfi,5,atom_h,9,20260818:4515:25:2:5:1:9
25,dpfi,5,atom_v,9,20260818:4515:25:2:5:2:9
25,dpfi,5,atom_h,10,20260818:4515:25:2:5:1:10
25,dpfi,5,atom_v,10,20260818:4515:25:2:5:2:10
25,dpfi,5,atom_h,11,20260818:4515:25:2:5:1:11
25,dpfi,5,atom_v,11,20260818:4515:25:2:5:2:11
25,dpfi,5,atom_h,12,20260818:4515:25:2:5:1:12
25,dpfi,5,atom_v,12,20260818:4515:25:2:5:2:12
25,dpfi,5,atom_h,13,20260818:4515:25:2:5:1:13
25,dpfi,5,atom_v,13,20260818:4515:25:2:5:2:13
25,dpfi,5,atom_h,14,20260818:4515:25:2:5:1:14
25,dpfi,5,atom_v,14,20260818:4515:25:2:5:2:14
25,dpfi,5,atom_h,15,20260818:4515:25:2:5:1:15
25,dpfi,5,atom_v,15,20260818:4515:25:2:5:2:15
25,dpfi,6,blank_h,0,20260818:4515:25:2:6:3:0
25,dpfi,6,blank_v,0,20260818:4515:25:2:6:4:0
25,dpfi,6,dark_h,0,20260818:4515:25:2:6:5:0
25,dpfi,6,dark_v,0,20260818:4515:25:2:6:6:0
25,dpfi,6,atom_h,1,20260818:4515:25:2:6:1:1
25,dpfi,6,atom_v,1,20260818:4515:25:2:6:2:1
25,dpfi,6,atom_h,2,20260818:4515:25:2:6:1:2
25,dpfi,6,atom_v,2,20260818:4515:25:2:6:2:2
