duration_us,image_q,observable,predeclared_sequence_count,supported_count,unsupported_count,mean,mean_error_or_bias,sd,q16,median,q84,optimizer_failure_count,residual_failure_count,active_physical_bound_count
25,1,eta,64,64,0,1.0030504246507799,0.0030504246507798566,0.03621070377229313,0.967887691144418,1.004092628645748,1.0331760960539966,0,0,0
25,1,rho_y,64,64,0,0.9997716267413208,-0.0002283732586791879,0.03564204546862287,0.9674478583924441,0.9953877393919415,1.0334597350700934,0,0,0
25,2,eta,64,64,0,1.0025258702925042,0.005391255321269332,0.04476760207499589,0.9542885950475358,1.0005354223952276,1.0499093387471428,0,0,0
25,2,rho_y,64,64,0,0.9985909753727911,-0.0008352815183283561,0.04197102290877265,0.9609461603949715,0.9908656769115153,1.0373515479246516,0,0,0
25,3,eta,64,64,0,0.9967670284222981,0.0024946267754556075,0.03647976810423096,0.9633526273758029,0.9905827075890612,1.035058158809226,0,0,0
25,3,rho_y,64,64,0,1.000136186956083,0.00128435006684211,0.03901275616336046,0.9580362833670742,1.0059002143817595,1.0435371935650235,0,0,0
25,4,eta,64,64,0,0.9919575471766608,0.0005441892194879873,0.03893409149881829,0.9618031744863779,0.9937180589008637,1.0243165637696423,0,0,0
25,4,rho_y,64,64,0,0.9897456105235554,-0.008531118407291942,0.03641480326821596,0.9594474779238834,0.9875384961635459,1.0223303515172575,0,0,0
25,5,eta,64,64,0,0.9923780964656408,0.0038206156874254025,0.041567787361687786,0.9441348241997608,1.0028941492805736,1.0335985724000456,0,0,0
25,5,rho_y,64,64,0,0.994681453534414,-0.0030194868177323784,0.03474979907242457,0.962221384258737,0.9950467356481203,1.0309561448300064,0,0,0
25,6,eta,64,64,0,0.9904468237438977,0.004742056102520724,0.05047091364189411,0.932763144482372,0.994041371070874,1.0363741656313246,0,0,0
25,6,rho_y,64,64,0,0.9994856954923746,0.002361225516557923,0.03491841356516663,0.9707445099030917,0.9962551386008114,1.0366780359299534,0,0,0
25,7,eta,64,64,0,0.9710107936469969,-0.011844425934849143,0.038752005910383164,0.9354445645292813,0.9759155144548295,1.0091639358642686,0,0,0
25,7,rho_y,64,64,0,0.9863517207011284,-0.010195555837785492,0.037092752896480626,0.9567489029161919,0.9796707113792399,1.0179304533127587,0,0,0
25,8,eta,64,64,0,0.9774167557964614,-0.002592074540288935,0.04689781418443253,0.9346742637136034,0.9762629999748518,1.013820865141389,0,0,0
25,8,rho_y,64,64,0,0.9923328816618089,-0.00363652466493585,0.03864034560589487,0.9523462944478871,0.9868675430249865,1.0304681112259313,0,0,0
25,9,eta,64,64,0,0.9799696170555423,0.002804022990771253,0.03827689109471065,0.9400114382794461,0.9799640949874802,1.01497925350798,0,0,0
25,9,rho_y,64,64,0,1.003404388636857,0.008013567078338607,0.032455059606953676,0.9729952276865965,1.0021017321794612,1.038643352459231,0,0,0
25,10,eta,64,64,0,0.9743671766439264,4.1656580005388494e-05,0.045707803545566174,0.9307076487591739,0.9730809231757405,1.0247163279670726,0,0,0
25,10,rho_y,64,64,0,0.9924403288774122,-0.002371219876368425,0.04166542698496894,0.9513664762026594,0.9916875154758991,1.034547983653839,0,0,0
25,11,eta,64,64,0,0.9673870198141327,-0.0041015811628868585,0.03490528548081992,0.9348707605298266,0.9654645914211286,1.004865854900161,0,0,0
25,11,rho_y,64,64,0,0.9944210703490696,0.00018951956799195813,0.03423335250156146,0.9555392483301071,0.9951218847135149,1.0345175610386241,0,0,0
25,12,eta,64,64,0,0.9730573158655328,0.004402481881383261,0.036600063311508724,0.9407289537721725,0.9692221275864321,1.009659215012807,0,0,0
25,12,rho_y,64,64,0,0.9894543943536727,-0.0041964446828721535,0.03425933267716238,0.95169604842957,0.9872431680305087,1.021534981215452,0,0,0
25,13,eta,64,64,0,0.9658317776371887,7.79284082161845e-06,0.04673485021623188,0.9242010080016752,0.9645804247973788,1.0158916226172985,0,0,0
25,13,rho_y,64,64,0,0.9892712326414891,-0.003798154229915019,0.044751566794816906,0.9458890267051362,0.9871811041073411,1.0319576847586458,0,0,0
25,14,eta,64,64,0,0.9714368209213191,0.00844045508397879,0.037538027921230455,0.9324284358463631,0.9750978998274884,1.005507812428065,0,0,0
25,14,rho_y,64,64,0,0.9974805588541753,0.004993326931348078,0.037211882042573,0.9592294955805157,0.9918734083779168,1.038661376740872,0,0,0
25,15,eta,64,64,0,0.9548386433507371,-0.005333290788131663,0.04549717731711946,0.9097362262133253,0.9544709724687916,0.998782722111085,0,0,0
25,15,rho_y,64,64,0,0.9878338835431365,-0.004070481632047311,0.03394045684999279,0.9545285555479082,0.9941948501766409,1.0162133292124609,0,0,0
100,1,eta,64,64,0,0.9961391825792588,-0.0038608174207411926,0.019037477074479236,0.9786176086167094,0.9929660335328541,1.0164624373416817,0,0,0
