duration_us,draw_id,image_q,truth_eta,truth_rho_y,truth_condensate_atoms,truth_radius_y_um,whole_image_template_snr,scattered_photons_per_atom_per_pulse,deposited_energy_per_pulse_j,cumulative_deposited_energy_before_image_j,selected_start_id,converged_start_count,optimizer_failure,residual_failure,eta_hat,rho_y_hat,y0_hat_um,eta_error,rho_y_error,eta_conditional_sd,rho_y_conditional_sd,eta_supported,rho_y_supported,eta_support_reason,rho_y_support_reason,active_physical_bounds,active_nuisance_bounds,raw_objective,reduced_raw_objective,maximum_absolute_whitened_residual
25,0,1,1.0,1.0,50701.094679638154,14.652216669933539,27.322328544710132,0.0008372038653321885,1.8030554660317844e-27,0.0,1,5,false,false,0.9884456224080237,1.0154382751821278,-0.23760174890390323,-0.011554377591976306,0.015438275182127814,0.04175048310615375,0.036835015614156585,true,true,supported,supported,0,1,7202.732414763058,0.9945777982274313,4.299705265906603
25,0,2,0.9971346149712348,0.9994262568911194,50555.816522001114,14.64381006158934,27.268955979031634,0.0008372038653321885,1.8030554660317844e-27,1.8030554660317844e-27,1,5,false,false,1.062536152923164,1.080474320601829,-0.27769381491176987,0.06540153795192927,0.0810480637107096,0.04373889758990189,0.037974972571405224,true,true,supported,supported,0,1,7151.024804246014,0.9874378354385549,3.7451477558807627
25,0,3,0.9942724016468425,0.9988518368892408,50410.699173247776,14.63539353526227,27.21556412327189,0.0008372038653321885,1.8030554660317844e-27,3.606110932063569e-27,3,5,false,false,0.9897107200303976,1.0118812970799882,-0.22370632436699645,-0.004561681616444879,0.013029460190747355,0.04166293525092285,0.03660757654335787,true,true,supported,supported,0,1,7182.330022566611,0.9917605664963561,4.4637356276309195
25,0,4,0.991413357957173,0.9982767289308474,50265.74252844462,14.626966928847287,27.16215226874793,0.0008372038653321885,1.8030554660317844e-27,5.409166398095354e-27,1,5,false,false,0.977914757415195,0.9579973037298292,-0.12362778821741892,-0.013498600541978045,-0.04027942520101824,0.04048898763270439,0.034212387544409056,true,true,supported,supported,0,1,7102.432644926912,0.9807280647510235,3.5714010410228823
25,0,5,0.9885574807782154,0.9977009403521463,50120.94642920087,14.618530349836087,27.10871954801036,0.0008372038653321885,1.8030554660317844e-27,7.212221864127138e-27,3,5,false,false,1.019332882170094,0.9910800196734748,0.17293223721586884,0.03077540139187862,-0.0066209206786714825,0.04145589561842762,0.03468999127148066,true,true,supported,supported,0,1,7043.449171109584,0.9725834260024281,3.6222188986799115
25,0,6,0.985704767641377,0.9971244699758168,49976.310750356184,14.610083780978309,27.05526576827082,0.0008372038653321885,1.8030554660317844e-27,9.015277330158925e-27,1,5,false,false,0.9245325980710851,0.9942309688441054,0.05198771342279727,-0.06117216957029192,-0.0028935011317113846,0.04113643947021695,0.03807953653895525,true,true,supported,supported,0,1,7138.842892690595,0.9857557156435509,3.511259565121165
25,0,7,0.9828552195818461,0.9965472765389138,49831.835544395726,14.601626617680344,27.001791745448628,0.0008372038653321885,1.8030554660317844e-27,1.0818332796190707e-26,3,5,false,false,0.9993308646375055,1.086856690695097,0.06071030817699664,0.01647564505565946,0.0903094141561831,0.0436149869220306,0.040516383862752345,true,true,supported,supported,0,1,7187.293458147242,0.9924459345687989,3.720641078897104
25,0,8,0.9800088303367503,0.9959694063267447,49687.52049378502,14.593159538124539,26.948298326377884,0.0008372038653321885,1.8030554660317844e-27,1.2621388262222494e-26,3,5,false,false,0.970275547243097,1.0725083866750762,0.06873164985688629,-0.0097332830936534,0.07653898034833151,0.04306778885283879,0.040728139004743,true,true,supported,supported,0,1,7208.867394981814,0.9954249371695407,3.478705764270501
25,0,9,0.9771655940647711,0.9953908215585184,49543.36530236282,14.584681988738566,26.894784812015207,0.0008372038653321885,1.8030554660317844e-27,1.4424443728254276e-26,1,5,false,false,1.018590151107181,1.0393051503617672,0.31012741765222046,0.04142455704240999,0.04391432880324875,0.042458286166491485,0.0371588571474703,true,true,supported,supported,0,1,7165.735540999227,0.9894691440208819,4.237243579206084
25,0,10,0.9743255200639209,0.9948115487537806,49399.37044154854,14.576194358092547,26.84125019716892,0.0008372038653321885,1.8030554660317844e-27,1.622749919428606e-26,1,5,false,false,0.9406809913934244,0.9215834341814387,0.1824185928089955,-0.0336445286704965,-0.0732281145723419,0.03943022774201674,0.03345862360358306,true,true,supported,supported,0,1,7171.20401325354,0.990224249275551,4.888260617619125
