endpoint_label,field_orientation,primary_fit_status,selected_start_id,observables_json,bootstrap_success_count,bootstrap_failure_count,diagnostics_json
B_parallel_y,y,success,neutral,"{""A"": 18771.728464164367, ""aspect_ratio_y_over_z"": 20.482811618790784, ""centre_y_um"": -0.09401624110586654, ""centre_z_um"": 0.0004082169260420577, ""sigma_y_um"": 6.448030740729722, ""sigma_z_um"": 0.3148020330770579}",64,0,"{""endpoint_label"": ""B_parallel_y"", ""geometry"": {""endpoint_label"": ""B_parallel_y"", ""message"": ""scaled endpoint-local likelihood geometry evaluated"", ""parameter_count"": 7, ""primary_active_bound_count"": 1, ""primary_condition_number"": 234.77710256123126, ""primary_data_rank"": 7, ""records"": [{""active_bound_gradient_fraction"": 0.0, ""amplitude_gate_supported"": true, ""data_null_space_fraction"": 0.0, ""estimate"": 18771.728464164367, ""identified_subspace_standard_uncertainty"": 565.6824866536928, ""observable_name"": ""A"", ""primary_supported"": true, ""reasons"": [], ""reporting_scale"": 1877.1728464164369, ""supported"": true, ""tolerance_stable"": true}, {""active_bound_gradient_fraction"": 0.0, ""amplitude_gate_supported"": true, ""data_null_space_fraction"": 0.0, ""estimate"": -0.09401624110586654, ""identified_subspace_standard_uncertainty"": 0.2225490012936166, ""observable_name"": ""centre_y_um"", ""primary_supported"": true, ""reasons"": [], ""reporting_scale"": 0.65, ""supported"": true, ""tolerance_stable"": true}, {""active_bound_gradient_fraction"": 0.0, ""amplitude_gate_supported"": true, ""data_null_space_fraction"": 0.0, ""estimate"": 0.0004082169260420577, ""identified_subspace_standard_uncertainty"": 0.020126338664305098, ""observable_name"": ""centre_z_um"", ""primary_supported"": true, ""reasons"": [], ""reporting_scale"": 0.65, ""supported"": true, ""tolerance_stable"": true}, {""active_bound_gradient_fraction"": 0.0, ""amplitude_gate_supported"": true, ""data_null_space_fraction"": 0.0, ""estimate"": 6.448030740729722, ""identified_subspace_standard_uncertainty"": 0.16564750879344786, ""observable_name"": ""sigma_y_um"", ""primary_supported"": true, ""reasons"": [], ""reporting_scale"": 0.9672046111094583, ""supported"": true, ""tolerance_stable"": true}, {""active_bound_gradient_fraction"": 0.0, ""amplitude_gate_supported"": true, ""data_null_space_fraction"": 0.0, ""estimate"": 0.3148020330770579, ""identified_subspace_standard_uncertainty"": 0.04662256268070438, ""observable_name"": ""sigma_z_um"", ""primary_supported"": true, ""reasons"": [], ""reporting_scale"": 0.65, ""supported"": true, ""tolerance_stable"": true}, {""active_bound_gradient_fraction"": 0.0, ""amplitude_gate_supported"": true, ""data_null_space_fraction"": 0.0, ""estimate"": 20.482811618790784, ""identified_subspace_standard_uncertainty"": 0.15020233283927115, ""observable_name"": ""aspect_ratio_y_over_z"", ""primary_supported"": true, ""reasons"": [], ""reporting_scale"": 0.1823215567939546, ""supported"": true, ""tolerance_stable"": true}], ""singular_values"": [5579.927507139754, 4366.301556169342, 794.9792924557047, 323.2729629089641, 89.86785139354336, 80.0915652978656, 23.76691528376144], ""status"": ""success""}, ""multistart"": [{""grade"": ""stable"", ""maximum_normalised_shift"": 0.002262735723445517, ""observable_name"": ""A"", ""successful_start_count"": 4}, {""grade"": ""stable"", ""maximum_normalised_shift"": 0.0009315445810360333, ""observable_name"": ""centre_y_um"", ""successful_start_count"": 4}, {""grade"": ""stable"", ""maximum_normalised_shift"": 6.365896122044922e-05, ""observable_name"": ""centre_z_um"", ""successful_start_count"": 4}, {""grade"": ""stable"", ""maximum_normalised_shift"": 0.0005390787120897978, ""observable_name"": ""sigma_y_um"", ""successful_start_count"": 4}, {""grade"": ""stable"", ""maximum_normalised_shift"": 0.001113753748492874, ""observable_name"": ""sigma_z_um"", ""successful_start_count"": 4}, {""grade"": ""stable"", ""maximum_normalised_shift"": 0.01270702507211181, ""observable_name"": ""aspect_ratio_y_over_z"", ""successful_start_count"": 4}], ""residuals"": {""endpoint_label"": ""B_parallel_y"", ""message"": ""endpoint-local raw residuals verified"", ""roles"": [{""roi_mean"": -0.00685349486819502, ""roi_p99_absolute"": 2.6282286824167516, ""roi_pixel_count"": 23409, ""roi_rms"": 1.004620976966808, ""roi_standard_deviation"": 1.0045975995242251, ""role_name"": ""atom_000"", ""role_owner_id"": ""retained_v1:B_parallel_y:atom_000""}, {""roi_mean"": 0.006853441485102749, ""roi_p99_absolute"": 2.5546944242740652, ""roi_pixel_count"": 23409, ""roi_rms"": 0.99525539336479, ""roi_standard_deviation"": 0.9952317962974822, ""role_name"": ""bright_reference"", ""role_owner_id"": ""retained_v1:B_parallel_y:bright_reference""}, {""roi_mean"": -0.0011073158115785678, ""roi_p99_absolute"": 2.5928581133113293, ""roi_pixel_count"": 23409, ""roi_rms"": 1.0086317232963222, ""roi_standard_deviation"": 1.0086311154685852, ""role_name"": ""dark"", ""role_owner_id"": ""retained_v1:B_parallel_y:dark""}], ""status"": ""success""}, ""zero_density_null"": {""endpoint_label"": ""B_parallel_y"", ""fitted_weighted_chi_square"": 70628.10288280944, ""improvement_over_null"": 2144.993365965842, ""message"": ""endpoint-local zero-density nuisance refit converged"", ""nuisance_values"": [735.43084471621, 1.2352683608834133e-17], ""null_weighted_chi_square"": 72773.09624877528, ""status"": ""success""}}"
B_parallel_z,z,success,shifted,"{""A"": 18594.548817582006, ""aspect_ratio_y_over_z"": 12.596345974281109, ""centre_y_um"": -0.7410219365618961, ""centre_z_um"": 0.006864735488209003, ""sigma_y_um"": 8.917242875074116, ""sigma_z_um"": 0.707922987609352}",64,0,"{""endpoint_label"": ""B_parallel_z"", ""geometry"": {""endpoint_label"": ""B_parallel_z"", ""message"": ""scaled endpoint-local likelihood geometry evaluated"", ""parameter_count"": 7, ""primary_active_bound_count"": 0, ""primary_condition_number"": 126.13516864541948, ""primary_data_rank"": 7, ""records"": [{""active_bound_gradient_fraction"": 0.0, ""amplitude_gate_supported"": true, ""data_null_space_fraction"": 0.0, ""estimate"": 18594.548817582006, ""identified_subspace_standard_uncertainty"": 807.3550891294451, ""observable_name"": ""A"", ""primary_supported"": true, ""reasons"": [], ""reporting_scale"": 1859.4548817582008, ""supported"": true, ""tolerance_stable"": true}, {""active_bound_gradient_fraction"": 0.0, ""amplitude_gate_supported"": true, ""data_null_space_fraction"": 0.0, ""estimate"": -0.7410219365618961, ""identified_subspace_standard_uncertainty"": 0.45212562623023417, ""observable_name"": ""centre_y_um"", ""primary_supported"": true, ""reasons"": [], ""reporting_scale"": 0.65, ""supported"": true, ""tolerance_stable"": true}, {""active_bound_gradient_fraction"": 0.0, ""amplitude_gate_supported"": true, ""data_null_space_fraction"": 0.0, ""estimate"": 0.006864735488209003, ""identified_subspace_standard_uncertainty"": 0.039155374028906946, ""observable_name"": ""centre_z_um"", ""primary_supported"": true, ""reasons"": [], ""reporting_scale"": 0.65, ""supported"": true, ""tolerance_stable"": true}, {""active_bound_gradient_fraction"": 0.0, ""amplitude_gate_supported"": true, ""data_null_space_fraction"": 0.0, ""estimate"": 8.917242875074116, ""identified_subspace_standard_uncertainty"": 0.32690493693560724, ""observable_name"": ""sigma_y_um"", ""primary_supported"": true, ""reasons"": [], ""reporting_scale"": 1.3375864312611174, ""supported"": true, ""tolerance_stable"": true}, {""active_bound_gradient_fraction"": 0.0, ""amplitude_gate_supported"": true, ""data_null_space_fraction"": 0.0, ""estimate"": 0.707922987609352, ""identified_subspace_standard_uncertainty"": 0.040771215137417445, ""observable_name"": ""sigma_z_um"", ""primary_supported"": true, ""reasons"": [], ""reporting_scale"": 0.65, ""supported"": true, ""tolerance_stable"": true}, {""active_bound_gradient_fraction"": 0.0, ""amplitude_gate_supported"": true, ""data_null_space_fraction"": 0.0, ""estimate"": 12.596345974281109, ""identified_subspace_standard_uncertainty"": 0.07155268771747894, ""observable_name"": ""aspect_ratio_y_over_z"", ""primary_supported"": true, ""reasons"": [], ""reporting_scale"": 0.1823215567939546, ""supported"": true, ""tolerance_stable"": true}], ""singular_values"": [5579.651372503626, 4364.2743731448745, 408.6288956801101, 207.82523280745662, 66.19999917486092, 55.91960528588376, 44.235493022478686], ""status"": ""success""}, ""multistart"": [{""grade"": ""stable"", ""maximum_normalised_shift"": 0.0003765628147490699, ""observable_name"": ""A"", ""successful_start_count"": 4}, {""grade"": ""stable"", ""maximum_normalised_shift"": 0.002953771788780475, ""observable_name"": ""centre_y_um"", ""successful_start_count"": 4}, {""grade"": ""stable"", ""maximum_normalised_shift"": 0.0001154155326343406, ""observable_name"": ""centre_z_um"", ""successful_start_count"": 4}, {""grade"": ""stable"", ""maximum_normalised_shift"": 0.000404093381875103, ""observable_name"": ""sigma_y_um"", ""successful_start_count"": 4}, {""grade"": ""stable"", ""maximum_normalised_shift"": 9.157522160489014e-05, ""observable_name"": ""sigma_z_um"", ""successful_start_count"": 4}, {""grade"": ""stable"", ""maximum_normalised_shift"": 0.000699989897123713, ""observable_name"": ""aspect_ratio_y_over_z"", ""successful_start_count"": 4}], ""residuals"": {""endpoint_label"": ""B_parallel_z"", ""message"": ""endpoint-local raw residuals verified"", ""roles"": [{""roi_mean"": 0.0013767082713893374, ""roi_p99_absolute"": 2.5723861832347463, ""roi_pixel_count"": 23409, ""roi_rms"": 0.9907623343225481, ""roi_standard_deviation"": 0.9907613778234394, ""role_name"": ""atom_000"", ""role_owner_id"": ""retained_v1:B_parallel_z:atom_000""}, {""roi_mean"": -0.0013767147272213834, ""roi_p99_absolute"": 2.5712506138624516, ""roi_pixel_count"": 23409, ""roi_rms"": 1.0035506023153218, ""roi_standard_deviation"": 1.0035496579960579, ""role_name"": ""bright_reference"", ""role_owner_id"": ""retained_v1:B_parallel_z:bright_reference""}, {""roi_mean"": -6.947310618624442e-10, ""roi_p99_absolute"": 2.5465950130624857, ""roi_pixel_count"": 23409, ""roi_rms"": 0.9978080860024988, ""roi_standard_deviation"": 0.9978080860024988, ""role_name"": ""dark"", ""role_owner_id"": ""retained_v1:B_parallel_z:dark""}], ""status"": ""success""}, ""zero_density_null"": {""endpoint_label"": ""B_parallel_z"", ""fitted_weighted_chi_square"": 69860.52721279243, ""improvement_over_null"": 975.1501846780593, ""message"": ""endpoint-local zero-density nuisance refit converged"", ""nuisance_values"": [735.4858789354914, 0.0004567801179909792], ""null_weighted_chi_square"": 70835.67739747048, ""status"": ""success""}}"
