state,display_label,method,minimum,maximum,maximum_absolute,negative_pixel_count,sum
smooth_bec,BEC,pci,2.475797344914099e-14,0.7808731320585335,0.7808731320585335,0,107.5743054333536
smooth_bec,BEC,dgi,-8.946828144663812e-08,0.20101350325348166,0.20101350325348166,534,18.16634878583313
smooth_bec,BEC,dffi,1.894237668491831e-34,0.09940616095053614,0.09940616095053614,0,8.99355036701768
smooth_bec,BEC,dpfi,-0.5952874592604712,0.0,0.5952874592604712,1139,-91.85830239368147
connected_modulated,SSP,pci,1.7541523789077473e-14,2.011999399447263,2.011999399447263,0,108.69391686037672
connected_modulated,SSP,dgi,-4.082179888255854e-09,1.1407029551087144,1.1407029551087144,413,37.23686358356607
connected_modulated,SSP,dffi,5.072498226570231e-34,0.567439505939388,0.567439505939388,0,18.485821903930344
connected_modulated,SSP,dpfi,-0.9347018732174793,1.1102230246251565e-16,0.9347018732174793,885,-73.15068935036739
separated_droplets,ID,pci,-8.881784197001252e-16,1.9125777291295556,1.9125777291295556,4,87.6625910464204
separated_droplets,ID,dgi,-4.776772315979246e-09,1.4209560057345048,1.4209560057345048,304,34.96475347964831
separated_droplets,ID,dffi,2.4878103657744595e-34,0.714129789836158,0.714129789836158,0,17.445668859546586
separated_droplets,ID,dpfi,-0.7135426409089936,1.1102230246251565e-16,0.7135426409089936,661,-53.59651093572536
