method,state,duration_us,draw_id,d_peak_hat_um,nu_vp_hat,d_peak_truth_um,nu_vp_truth,d_peak_conditional_sd_um,nu_vp_conditional_sd,old_d_peak_supported,old_nu_vp_supported,selected_locally_eligible,minimum_distinct_alternative_delta_q,d_peak_competitive_alternative_count,nu_vp_competitive_alternative_count,d_peak_supported,nu_vp_supported,support_rule
dgi,connected_modulated,25,0,2.7935550574845003,0.606855898489984,2.751540046488,0.6494770333465083,0.03836212099591862,0.049510484228564064,False,False,False,,0,0,False,False,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,1,2.8011339376690003,0.6321325514896255,2.751540046488,0.6494770333465083,0.04176583590501218,0.05141968006173598,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,2,2.7404244879795,0.6940002421602667,2.751540046488,0.6494770333465083,0.05156363720814299,0.05604073078032718,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,3,2.768639275761,0.6249790367398669,2.751540046488,0.6494770333465083,0.0410119544256551,0.05107612971838224,False,False,False,,0,0,False,False,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,4,2.701807299714,0.6056237034350316,2.751540046488,0.6494770333465083,0.03963106974990975,0.05197926836258011,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,5,2.8504981806879996,0.5981947059473047,2.751540046488,0.6494770333465083,0.04093661478425449,0.05210995314015325,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,6,2.731145783214,0.6354902107455564,2.751540046488,0.6494770333465083,0.042431111108071885,0.054965296320148085,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,7,2.738634432299,0.6560046118355702,2.751540046488,0.6494770333465083,0.04124492919757346,0.04939131440379956,False,False,False,,0,0,False,False,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,8,2.7858914228985,0.7412689869342144,2.751540046488,0.6494770333465083,0.05352410278691632,0.04652160092005615,True,False,True,4.48809871319736,0,1,True,False,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,9,2.7695157824315,0.6236118945649998,2.751540046488,0.6494770333465083,0.04219824399132604,0.053481769804060685,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,10,2.7502948319725,0.6254208252613043,2.751540046488,0.6494770333465083,0.04005238026609156,0.05393919712222306,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,11,2.7528303518259998,0.6253552525948852,2.751540046488,0.6494770333465083,0.042427306774710925,0.05510245776409085,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,12,2.817734716555,0.5047393880461529,2.751540046488,0.6494770333465083,0.0360875851437767,0.053717433883638054,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,13,2.738291358194,0.6263280708512874,2.751540046488,0.6494770333465083,0.03767436874933787,0.048558348058779906,False,False,False,,0,0,False,False,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,14,2.7056293809835,0.6100409718534272,2.751540046488,0.6494770333465083,0.04056826501675786,0.05509259755398487,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,15,2.741033163814,0.6730905294535092,2.751540046488,0.6494770333465083,0.049716276896040516,0.05807715737238122,True,True,True,,0,0,True,True,local_support_plus_joint_95pct_likelihood_competition
dgi,connected_modulated,25,16,2.808501996756,0.6332582394310704,2.751540046488,0.6494770333465083,0.04211585543600673,0.050097460866154936,False,False,False,,0,0,False,False,local_support_plus_joint_95pct_likelihood_competition
