method,state,display_label,duration_us,whole_image_snr,scattered_photons_per_atom,deposited_recoil_energy_j_per_atom
dpfi,connected_modulated,SSP,25,28.865244556764,0.0008372038653321885,8.292726675843851e-33
dpfi,separated_droplets,ID,25,24.438605696845233,0.0008372038653321885,8.292726675843851e-33
dpfi,connected_modulated,SSP,50,41.52472350046812,0.001674407730664377,1.6585453351687702e-32
dpfi,separated_droplets,ID,50,35.21144337249037,0.001674407730664377,1.6585453351687702e-32
dpfi,connected_modulated,SSP,100,59.24166618712719,0.003348815461328754,3.3170906703375404e-32
dpfi,separated_droplets,ID,100,50.27611170466372,0.003348815461328754,3.3170906703375404e-32
dpfi,connected_modulated,SSP,200,84.15314321465615,0.006697630922657508,6.634181340675081e-32
dpfi,separated_droplets,ID,200,71.44775813142074,0.006697630922657508,6.634181340675081e-32
dpfi,connected_modulated,SSP,400,119.27676224321354,0.013395261845315016,1.3268362681350162e-31
dpfi,separated_droplets,ID,400,101.29018569921506,0.013395261845315016,1.3268362681350162e-31
