family,state,method,observable,unit,duration_us,whole_image_snr,q16,q84,recovery_width,draw_count
BEC,BEC,dpfi,eta,ratio,25,27.322328544710132,0.967887691144418,1.0331760960539966,0.06528840490957866,64
BEC,BEC,dpfi,eta,ratio,100,56.01811136706299,0.9786176086167094,1.0164624373416817,0.0378448287249723,64
BEC,BEC,dpfi,eta,ratio,150,68.80273058352701,0.9872802995226327,1.0139954040110828,0.026715104488450048,64
BEC,BEC,dpfi,eta,ratio,200,79.55975981916527,0.9846871833874593,1.0095735733335904,0.024886389946131127,64
BEC,BEC,dpfi,eta,ratio,250,89.0267192607054,0.9865610195294958,1.015852050663873,0.029291031134377254,64
BEC,BEC,dpfi,eta,ratio,300,97.57965533466886,0.9883475758348624,1.015652651731367,0.02730507589650466,64
BEC,BEC,dpfi,eta,ratio,350,105.4411652372461,0.9881093406080159,1.0086526433854528,0.020543302777436878,64
BEC,BEC,dpfi,eta,ratio,400,112.75593408175776,0.9875064741727396,1.015263304793102,0.02775683062036227,64
BEC,BEC,dpfi,rho_y,ratio,25,27.322328544710132,0.9674478583924441,1.0334597350700934,0.0660118766776493,64
BEC,BEC,dpfi,rho_y,ratio,100,56.01811136706299,0.9849201889599452,1.0126421939963999,0.027722005036454722,64
BEC,BEC,dpfi,rho_y,ratio,150,68.80273058352701,0.9880479536542337,1.012430963358538,0.024383009704304293,64
BEC,BEC,dpfi,rho_y,ratio,200,79.55975981916527,0.9878929718781315,1.0093570644718342,0.021464092593702633,64
BEC,BEC,dpfi,rho_y,ratio,250,89.0267192607054,0.9868863022166111,1.0119654788703512,0.025079176653740043,64
BEC,BEC,dpfi,rho_y,ratio,300,97.57965533466886,0.9932453024288621,1.0110248044371164,0.01777950200825429,64
BEC,BEC,dpfi,rho_y,ratio,350,105.4411652372461,0.989396121244531,1.0087440789843531,0.01934795773982212,64
BEC,BEC,dpfi,rho_y,ratio,400,112.75593408175776,0.9883553147562472,1.0095832320752374,0.021227917318990208,64
three_state,ID,dgi,d_peak,um,25,23.770658698698366,2.77663667013342,2.82512047971608,0.04848380958265963,64
three_state,ID,dgi,d_peak,um,50,34.37397586982964,2.7839186277686596,2.8137011017634403,0.029782473994780734,64
three_state,ID,dgi,d_peak,um,100,49.257911500954656,2.7917145988385403,2.80904166439812,0.017327065559579857,64
three_state,ID,dgi,d_peak,um,200,70.19309152671886,2.7915076898745803,2.8067855114010203,0.015277821526439972,64
three_state,ID,dgi,d_peak,um,400,99.69465101762289,2.7958302324372806,2.80488681773638,0.009056585299099584,64
three_state,SSP,dgi,d_peak,um,25,25.291394803813894,2.7033187443156397,2.78261692489134,0.07929818057570026,64
three_state,SSP,dgi,d_peak,um,50,36.564720219565736,2.71668166304744,2.78232822796182,0.06564656491438026,64
three_state,SSP,dgi,d_peak,um,100,52.38766749643089,2.72463323105006,2.76221128164584,0.03757805059578034,64
three_state,SSP,dgi,d_peak,um,200,74.64819918105336,2.74172994283406,2.7674626975112804,0.02573275467722036,64
three_state,SSP,dgi,d_peak,um,400,106.01995142863935,2.7407958950685,2.75984375561734,0.01904786054883978,64
three_state,ID,dpfi,d_peak,um,25,24.438605696845233,2.7673346190698003,2.8296360119669197,0.062301392897119445,64
three_state,ID,dpfi,d_peak,um,50,35.21144337249037,2.7737414227861996,2.8194944698650604,0.04575304707886074,64
three_state,ID,dpfi,d_peak,um,100,50.27611170466372,2.7839424991020403,2.8126007183647803,0.028658219262740037,64
three_state,ID,dpfi,d_peak,um,200,71.44775813142074,2.7890658488059,2.8119880252338,0.022922176427899732,64
three_state,ID,dpfi,d_peak,um,400,101.29018569921506,2.7911646658494402,2.8066088121465405,0.015444146297100225,64
three_state,SSP,dpfi,d_peak,um,25,28.865244556764,2.68920724545372,2.79197812147956,0.1027708760258399,64
three_state,SSP,dpfi,d_peak,um,50,41.52472350046812,2.72593424678578,2.7891233171061,0.06318907032032017,64
three_state,SSP,dpfi,d_peak,um,100,59.24166618712719,2.7147267166544,2.77132710962488,0.05660039297048014,64
three_state,SSP,dpfi,d_peak,um,200,84.15314321465615,2.72455004268456,2.77527674159544,0.050726698910879886,64
three_state,SSP,dpfi,d_peak,um,400,119.27676224321354,2.73859567822254,2.76076509504978,0.022169416827240163,64
three_state,ID,dgi,eta,ratio,25,23.770658698698366,0.9090935093634387,1.0756098516159298,0.16651634225249112,64
three_state,ID,dgi,eta,ratio,50,34.37397586982964,0.9129896032940982,1.0465967334214152,0.13360713012731706,64
three_state,ID,dgi,eta,ratio,100,49.257911500954656,0.9693805979339765,1.0388430453942934,0.06946244746031693,64
three_state,ID,dgi,eta,ratio,200,70.19309152671886,0.9780395270428898,1.0231261312118192,0.0450866041689294,64
three_state,ID,dgi,eta,ratio,400,99.69465101762289,0.9818757927131588,1.0147513634311272,0.03287557071796832,64
three_state,SSP,dgi,eta,ratio,25,25.291394803813894,0.7852522259753295,1.2374004382931323,0.4521482123178028,64
three_state,SSP,dgi,eta,ratio,50,36.564720219565736,0.8394467754365778,1.1305484048888443,0.2911016294522666,64
three_state,SSP,dgi,eta,ratio,100,52.38766749643089,0.8820942474371261,1.1180952215639282,0.2360009741268021,64
three_state,SSP,dgi,eta,ratio,200,74.64819918105336,0.929360080253877,1.089827073756537,0.16046699350266003,64
three_state,SSP,dgi,eta,ratio,400,106.01995142863935,0.9472703331066086,1.0611274632961025,0.11385713018949395,64
