method,state,display_label,duration_us,draw_id,selected_start_id,converged_start_count,optimizer_failure,residual_failure,eta_hat,d_hat_um,sigma_y_hat_um,y0_hat_um,d_peak_hat_um,d_peak_truth_um,d_peak_bias_um,nu_vp_hat,nu_vp_truth,nu_vp_bias,d_peak_conditional_sd_um,nu_vp_conditional_sd,d_peak_multistart_shift_sd,nu_vp_multistart_shift_sd,d_peak_supported,nu_vp_supported,support_reasons_json,topology_valid,physical_censored,nuisance_censored,morphology_rank_after_projection,raw_objective,reduced_raw_objective,maximum_absolute_whitened_residual,active_physical_bounds,active_nuisance_bounds
dpfi,connected_modulated,SSP,25,0,1,5,false,false,1.006310988666273,2.8457537230184533,0.9433761138397151,-0.0995702004306046,2.8045103096175,2.751540046488,0.05297026312950015,0.6258467040637289,0.6494770333465083,-0.023630329282779416,0.05470643097021996,0.06117369994487585,0.01520264734420052,0.0745139792465538,true,true,[],true,false,false,3,7070.951803238579,0.9763810830210685,4.482576274364424,0,0
dpfi,connected_modulated,SSP,25,1,4,5,false,false,1.0173849603430083,2.779733499107993,0.864185288526285,0.03929051235763382,2.7591496902765,2.751540046488,0.00760964378849982,0.5398433671772305,0.6494770333465083,-0.10963366616927783,0.0471611873236625,0.056364898917556715,0.09079755727123821,0.069066962490278,true,true,[],true,false,false,3,7039.92792339066,0.9720972001367937,4.209234030974519,0,2
dpfi,connected_modulated,SSP,25,2,1,5,false,false,0.9939451089681643,2.789784215033317,0.9738031230964858,-0.037614452952606584,2.7230549172875,2.751540046488,-0.028485129200499948,0.6929277940976158,0.6494770333465083,0.04345076075110754,0.06423439438743112,0.06363793187477045,0.21971302947726246,0.2567085953088034,true,true,[],true,false,false,3,7536.5621533981575,1.0406741443521343,3.9664082115614403,0,1
dpfi,connected_modulated,SSP,25,3,1,5,false,false,0.9618031123098291,2.773719802108664,0.913941896279518,-0.007397043855648482,2.7358948108780003,2.751540046488,-0.01564523560999964,0.6178022986917544,0.6494770333465083,-0.0316747346547539,0.05279644309525617,0.06208026254711446,0.260873324290994,0.26911868528441385,true,true,[],true,false,false,3,7168.469774184526,0.9898466962419947,3.8213343032760654,0,2
dpfi,connected_modulated,SSP,25,4,1,5,false,false,1.034671608196202,2.755607191141533,0.9272241453239748,0.025705328129770808,2.709302026244,2.751540046488,-0.04223802024400003,0.645532556309755,0.6494770333465083,-0.003944477036753269,0.05625339636531007,0.06397728480635842,0.18522303104752147,0.10636355856090414,true,true,[],true,false,false,3,7196.39229271411,0.9937023326034397,3.686550558015193,0,1
dpfi,connected_modulated,SSP,25,5,1,5,false,false,0.9841872690993343,2.6523189715040494,0.9217209427659075,0.10093516161676465,2.5914845728299998,2.751540046488,-0.1600554736580002,0.6872894261796316,0.6494770333465083,0.03781239283312332,0.06202041426310658,0.06658100832440889,0.09147868854005818,0.04609581954133031,true,true,[],true,false,false,3,7301.992228613175,1.008283931042968,4.196384318536191,0,1
dpfi,connected_modulated,SSP,25,6,4,5,false,false,0.9700127868399068,2.806733708636,0.9333125358783073,-0.05493484070310012,2.764784156927,2.751540046488,0.013244110438999979,0.6299276153468087,0.6494770333465083,-0.01954941799969956,0.057150754275851715,0.0644459778150542,0.05294269917060897,0.022499875863802556,true,true,[],true,false,false,3,7011.5758629100255,0.968182251161285,3.9650997150767195,0,0
dpfi,connected_modulated,SSP,25,7,3,5,false,false,1.0138945794110747,2.8133789519881156,0.9680249690937043,-0.029842859648474947,2.7546792839625,2.751540046488,0.0031392374745000673,0.6745604502384399,0.6494770333465083,0.02508341689193161,0.060975571171022896,0.06349379358706415,0.15273836530990648,0.050580814503147796,true,true,[],true,false,false,3,7146.21566825984,0.9867737735790997,3.8079560535798227,0,2
dpfi,connected_modulated,SSP,25,8,1,5,false,false,1.0069396393623062,2.7604632953936656,0.9634490130570791,0.012285937997339284,2.6945124584635,2.751540046488,-0.05702758802449992,0.6927707880998913,0.6494770333465083,0.04329375475338304,0.06691402008783473,0.06752703995437263,0.06095077543759614,0.1062363446713956,true,true,[],true,false,false,3,7202.341308322994,0.9945237929194966,3.821889458755782,0,0
dpfi,connected_modulated,SSP,25,9,1,5,false,false,0.9682233766011286,2.7563075097167813,0.9448970601286384,-0.0204938055831452,2.7007983431585,2.751540046488,-0.0507417033294999,0.6698032636077405,0.6494770333465083,0.020326230261232148,0.060642634344797185,0.06498765513169959,0.12125683540874782,0.11956446743856958,true,true,[],true,false,false,3,7200.359892423396,0.99425019227056,4.183212437702442,0,1
dpfi,connected_modulated,SSP,25,10,1,5,false,false,1.0344186625535983,2.7950554925887587,1.0202096284332869,0.014716619637822337,2.693996806889,2.751540046488,-0.057543239599000096,0.7477977357082262,0.6494770333465083,0.09832070236171786,0.08088457443304849,0.06526319568400131,0.08079062836522537,0.11194351122100615,true,true,[],true,false,false,3,7387.154612804137,1.020043442806426,3.854256099591393,0,1
dpfi,connected_modulated,SSP,25,11,1,5,false,false,1.115618688615099,2.877707041201487,0.9805483333458811,-0.17107993494969218,2.8230478866295003,2.751540046488,0.07150784014150036,0.6619416287602375,0.6494770333465083,0.01246459541372924,0.057607385148505885,0.061869027853082785,0.6323668682511713,0.4326408450982164,false,true,"[""d_peak_multistart_ambiguity""]",true,false,false,3,7293.723639245662,1.00714217609026,3.7031299469598333,0,1
dpfi,connected_modulated,SSP,25,12,1,5,false,false,1.035507867645389,2.681652311756513,0.8881982786545545,-0.058057059301444724,2.6431263692165,2.751540046488,-0.10841367727149986,0.6246863652909314,0.6494770333465083,-0.024790668055576948,0.0527606169865047,0.06277064068105148,0.12027185920936054,0.08734487749383794,true,true,[],true,false,false,3,7451.885235835732,1.0289816674724843,4.277946545547484,0,1
dpfi,connected_modulated,SSP,25,13,1,5,false,false,1.0676748498204187,2.8213737227364084,0.941117431101393,0.005526680110464103,2.7778734066995,2.751540046488,0.0263333602114999,0.6340588182041463,0.6494770333465083,-0.015418215142361968,0.05256710736071358,0.059790874528877276,0.24169659007136723,0.08627055619139141,true,true,[],true,false,false,3,7195.987803739987,0.9936464793896695,3.913743760355396,0,0
dpfi,connected_modulated,SSP,25,14,3,5,false,false,0.9902335988614327,2.8385189622897684,0.9285708783284703,0.03988350121214319,2.802539171965,2.751540046488,0.05099912547699992,0.6081949132890442,0.6494770333465083,-0.04128212005746412,0.05283370742307438,0.060211800387250485,0.19399733473036032,0.047329794295610586,true,true,[],true,false,false,3,7387.786312128757,1.0201306699984476,4.194259173843831,0,1
dpfi,connected_modulated,SSP,25,15,1,5,false,false,1.0320448108611386,2.7628164297897118,0.9618308649030433,0.048117270864078805,2.6983705039585,2.751540046488,-0.053169542529500013,0.6895548147848972,0.6494770333465083,0.040077781438388915,0.061094792344854855,0.0628701278186159,0.4007195501182846,0.42406184205637804,true,true,[],true,false,false,3,7193.975901735279,0.9933686691156143,3.955286242916588,0,1
dpfi,connected_modulated,SSP,25,16,1,5,false,false,1.0386757125117467,2.807398630194788,0.9662944829097154,0.1227395493633253,2.7486334454245,2.751540046488,-0.0029066010635001582,0.6749965076896451,0.6494770333465083,0.02551947434313684,0.060519822978688506,0.06328536364554498,0.29557183256797415,0.09375507053858016,true,true,[],true,false,false,3,7225.42669312766,0.9977115013984618,3.808730153089314,0,1
dpfi,connected_modulated,SSP,25,17,1,5,false,false,1.0478613651323767,2.790027765923342,0.9930002566186535,0.04513327466821871,2.7099958039720002,2.751540046488,-0.04154424251599975,0.7172562381913472,0.6494770333465083,0.0677792048448389,0.07072017411537293,0.0649431636558835,0.022174308415044176,0.010002127647051273,true,true,[],true,false,false,3,7230.752947384277,0.9984469687081299,4.383421954769977,0,2
dpfi,connected_modulated,SSP,25,18,3,5,false,false,1.0474843573220582,2.810502130708586,0.9732790954935222,-0.015313994840425482,2.7481470371965,2.751540046488,-0.003393009291499993,0.6828207573989789,0.6494770333465083,0.03334372405247055,0.06329006542745401,0.06470713866648525,0.038129367258528814,0.07599041295078289,true,true,[],true,false,false,3,7238.757703020138,0.9995522926015104,3.7977297719566403,0,1
dpfi,connected_modulated,SSP,25,19,0,5,false,false,1.0170071175256863,2.816926099268575,0.8879690045679098,0.09518777514518334,2.7926865453780003,2.751540046488,0.04114649889000033,0.5584796232886919,0.6494770333465083,-0.09099741005781636,0.04841192127373361,0.05763241259742696,0.15863781377474515,0.29621255854048645,true,true,[],true,false,false,3,7310.098954401159,1.0094033353218943,3.747924483999783,0,2
dpfi,connected_modulated,SSP,25,20,1,5,false,false,0.9786118702987541,2.720432539717324,0.9128723072497891,0.04241468564717834,2.675940187195,2.751540046488,-0.07559985929299984,0.6419156494923841,0.6494770333465083,-0.007561383854124193,0.056464383053916295,0.06503774410576896,0.046924306522036593,0.13964995761076668,true,true,[],true,false,false,3,7312.691173039081,1.0097612776911187,4.023788646245685,0,1
dpfi,connected_modulated,SSP,25,21,3,5,false,false,0.9907014929386883,2.7515603559193478,0.9380061273860615,0.0700379279233072,2.6990588133255002,2.751540046488,-0.05248123316249975,0.6625525719319427,0.6494770333465083,0.01307553858543442,0.0586399802882396,0.06338003622765552,0.10118063285212534,0.09009223589747749,true,true,[],true,false,false,3,7352.874092456979,1.0153098719217037,4.232480033872825,0,1
dpfi,connected_modulated,SSP,25,22,3,5,false,false,0.9769796243829193,2.784716251774272,0.9466417415415327,0.02578914884688729,2.733011557287,2.751540046488,-0.01852848920100003,0.6588930466648721,0.6494770333465083,0.009416013318363836,0.05970586845516198,0.06494099105010928,0.009210118590150548,0.0794020853033356,true,true,[],true,false,false,3,7129.3662834140905,0.9844471531916723,3.908149204368148,0,1
dpfi,connected_modulated,SSP,25,23,4,5,false,false,1.0123993752543294,2.804770399692966,0.91818828376169,0.01892813743162482,2.7689581750565,2.751540046488,0.017418128568500002,0.6091505705664655,0.6494770333465083,-0.040326462780042815,0.05274474685650619,0.06230925142532579,0.14438793657913998,0.33074186996971905,true,true,[],true,false,false,3,7311.049243075002,1.009534554415217,3.8407398408937685,0,1
dpfi,connected_modulated,SSP,25,24,3,5,false,false,0.9628482282856349,2.8414240399102906,1.0126640721400222,-0.004385187169801107,2.758888428068,2.751540046488,0.007348381579999952,0.7189282749612567,0.6494770333465083,0.06945124161474836,0.07128925645513824,0.06235568548980821,0.19969273367241197,0.2723628778349574,true,true,[],true,false,false,3,7279.558501114912,1.0051862056220535,4.574395302779253,0,1
dpfi,connected_modulated,SSP,25,25,4,5,false,false,1.046810388141132,2.818999819898566,0.9282369552895777,-0.03274377581257535,2.7808174682265,2.751540046488,0.02927742173850012,0.6169075627399194,0.6494770333465083,-0.03256947060658888,0.0523401420658912,0.059733774307004404,0.045584467166636986,0.037958277345065156,true,true,[],true,false,false,3,7409.788911150321,1.0231688637324388,4.128189696246497,0,2
dpfi,connected_modulated,SSP,25,26,3,5,false,false,1.0422465241275936,2.827564038205927,1.0114104049830417,-0.030280618634797977,2.742612474134,2.751540046488,-0.008927572354000102,0.723416219073963,0.6494770333465083,0.07393918572745473,0.07427416855930076,0.0655311197261496,0.03616042743522139,0.015484370329042619,true,true,[],true,false,false,3,7106.7994437565285,0.9813310471909042,4.463379305060188,0,1
dpfi,connected_modulated,SSP,25,27,3,5,false,false,0.9994964012680972,2.7466801678426136,0.9730197352379376,0.022361743065498985,2.6712337673305,2.751540046488,-0.0803062791575,0.7114711639682242,0.6494770333465083,0.06199413062171588,0.06740170646764776,0.0649382279789726,0.043648422772685956,0.032060966068104435,true,true,[],true,false,false,3,7062.077134587323,0.9751556385787521,3.803371152681673,0,0
dpfi,connected_modulated,SSP,25,28,2,5,false,false,0.9714242331920531,2.8475503895830583,0.9591090656831663,0.03436918141911724,2.799233628568,2.751540046488,0.04769358207999996,0.6468293457057201,0.6494770333465083,-0.0026476876407881544,0.05838435278383525,0.06219132901844358,0.1083792951242961,0.022673650086245105,true,true,[],true,false,false,3,7306.850251497607,1.0089547433716664,4.2718057376703245,0,0
