method,duration_us,state,draw_id,role,role_id,frame_id,seed_tuple
dpfi,25,connected_modulated,10,blank_h,3,0,20260818;5301;25;1;2;10;3;0
dpfi,25,connected_modulated,10,blank_v,4,0,20260818;5301;25;1;2;10;4;0
dpfi,25,connected_modulated,10,dark_h,5,0,20260818;5301;25;1;2;10;5;0
dpfi,25,connected_modulated,10,dark_v,6,0,20260818;5301;25;1;2;10;6;0
dpfi,25,connected_modulated,11,atom_h,1,1,20260818;5301;25;1;2;11;1;1
dpfi,25,connected_modulated,11,atom_v,2,1,20260818;5301;25;1;2;11;2;1
dpfi,25,connected_modulated,11,blank_h,3,0,20260818;5301;25;1;2;11;3;0
dpfi,25,connected_modulated,11,blank_v,4,0,20260818;5301;25;1;2;11;4;0
dpfi,25,connected_modulated,11,dark_h,5,0,20260818;5301;25;1;2;11;5;0
dpfi,25,connected_modulated,11,dark_v,6,0,20260818;5301;25;1;2;11;6;0
dpfi,25,connected_modulated,12,atom_h,1,1,20260818;5301;25;1;2;12;1;1
dpfi,25,connected_modulated,12,atom_v,2,1,20260818;5301;25;1;2;12;2;1
dpfi,25,connected_modulated,12,blank_h,3,0,20260818;5301;25;1;2;12;3;0
dpfi,25,connected_modulated,12,blank_v,4,0,20260818;5301;25;1;2;12;4;0
dpfi,25,connected_modulated,12,dark_h,5,0,20260818;5301;25;1;2;12;5;0
dpfi,25,connected_modulated,12,dark_v,6,0,20260818;5301;25;1;2;12;6;0
dpfi,25,connected_modulated,13,atom_h,1,1,20260818;5301;25;1;2;13;1;1
dpfi,25,connected_modulated,13,atom_v,2,1,20260818;5301;25;1;2;13;2;1
dpfi,25,connected_modulated,13,blank_h,3,0,20260818;5301;25;1;2;13;3;0
dpfi,25,connected_modulated,13,blank_v,4,0,20260818;5301;25;1;2;13;4;0
dpfi,25,connected_modulated,13,dark_h,5,0,20260818;5301;25;1;2;13;5;0
dpfi,25,connected_modulated,13,dark_v,6,0,20260818;5301;25;1;2;13;6;0
dpfi,25,connected_modulated,14,atom_h,1,1,20260818;5301;25;1;2;14;1;1
dpfi,25,connected_modulated,14,atom_v,2,1,20260818;5301;25;1;2;14;2;1
dpfi,25,connected_modulated,14,blank_h,3,0,20260818;5301;25;1;2;14;3;0
dpfi,25,connected_modulated,14,blank_v,4,0,20260818;5301;25;1;2;14;4;0
dpfi,25,connected_modulated,14,dark_h,5,0,20260818;5301;25;1;2;14;5;0
dpfi,25,connected_modulated,14,dark_v,6,0,20260818;5301;25;1;2;14;6;0
dpfi,25,connected_modulated,15,atom_h,1,1,20260818;5301;25;1;2;15;1;1
dpfi,25,connected_modulated,15,atom_v,2,1,20260818;5301;25;1;2;15;2;1
dpfi,25,connected_modulated,15,blank_h,3,0,20260818;5301;25;1;2;15;3;0
dpfi,25,connected_modulated,15,blank_v,4,0,20260818;5301;25;1;2;15;4;0
dpfi,25,connected_modulated,15,dark_h,5,0,20260818;5301;25;1;2;15;5;0
dpfi,25,connected_modulated,15,dark_v,6,0,20260818;5301;25;1;2;15;6;0
dpfi,25,connected_modulated,16,atom_h,1,1,20260818;5301;25;1;2;16;1;1
dpfi,25,connected_modulated,16,atom_v,2,1,20260818;5301;25;1;2;16;2;1
dpfi,25,connected_modulated,16,blank_h,3,0,20260818;5301;25;1;2;16;3;0
dpfi,25,connected_modulated,16,blank_v,4,0,20260818;5301;25;1;2;16;4;0
dpfi,25,connected_modulated,16,dark_h,5,0,20260818;5301;25;1;2;16;5;0
dpfi,25,connected_modulated,16,dark_v,6,0,20260818;5301;25;1;2;16;6;0
dpfi,25,connected_modulated,17,atom_h,1,1,20260818;5301;25;1;2;17;1;1
dpfi,25,connected_modulated,17,atom_v,2,1,20260818;5301;25;1;2;17;2;1
dpfi,25,connected_modulated,17,blank_h,3,0,20260818;5301;25;1;2;17;3;0
dpfi,25,connected_modulated,17,blank_v,4,0,20260818;5301;25;1;2;17;4;0
dpfi,25,connected_modulated,17,dark_h,5,0,20260818;5301;25;1;2;17;5;0
dpfi,25,connected_modulated,17,dark_v,6,0,20260818;5301;25;1;2;17;6;0
dpfi,25,connected_modulated,18,atom_h,1,1,20260818;5301;25;1;2;18;1;1
dpfi,25,connected_modulated,18,atom_v,2,1,20260818;5301;25;1;2;18;2;1
dpfi,25,connected_modulated,18,blank_h,3,0,20260818;5301;25;1;2;18;3;0
dpfi,25,connected_modulated,18,blank_v,4,0,20260818;5301;25;1;2;18;4;0
dpfi,25,connected_modulated,18,dark_h,5,0,20260818;5301;25;1;2;18;5;0
dpfi,25,connected_modulated,18,dark_v,6,0,20260818;5301;25;1;2;18;6;0
dpfi,25,connected_modulated,19,atom_h,1,1,20260818;5301;25;1;2;19;1;1
dpfi,25,connected_modulated,19,atom_v,2,1,20260818;5301;25;1;2;19;2;1
dpfi,25,connected_modulated,19,blank_h,3,0,20260818;5301;25;1;2;19;3;0
dpfi,25,connected_modulated,19,blank_v,4,0,20260818;5301;25;1;2;19;4;0
dpfi,25,connected_modulated,19,dark_h,5,0,20260818;5301;25;1;2;19;5;0
dpfi,25,connected_modulated,19,dark_v,6,0,20260818;5301;25;1;2;19;6;0
dpfi,25,connected_modulated,20,atom_h,1,1,20260818;5301;25;1;2;20;1;1
dpfi,25,connected_modulated,20,atom_v,2,1,20260818;5301;25;1;2;20;2;1
dpfi,25,connected_modulated,20,blank_h,3,0,20260818;5301;25;1;2;20;3;0
dpfi,25,connected_modulated,20,blank_v,4,0,20260818;5301;25;1;2;20;4;0
dpfi,25,connected_modulated,20,dark_h,5,0,20260818;5301;25;1;2;20;5;0
dpfi,25,connected_modulated,20,dark_v,6,0,20260818;5301;25;1;2;20;6;0
dpfi,25,connected_modulated,21,atom_h,1,1,20260818;5301;25;1;2;21;1;1
dpfi,25,connected_modulated,21,atom_v,2,1,20260818;5301;25;1;2;21;2;1
dpfi,25,connected_modulated,21,blank_h,3,0,20260818;5301;25;1;2;21;3;0
dpfi,25,connected_modulated,21,blank_v,4,0,20260818;5301;25;1;2;21;4;0
dpfi,25,connected_modulated,21,dark_h,5,0,20260818;5301;25;1;2;21;5;0
dpfi,25,connected_modulated,21,dark_v,6,0,20260818;5301;25;1;2;21;6;0
dpfi,25,connected_modulated,22,atom_h,1,1,20260818;5301;25;1;2;22;1;1
dpfi,25,connected_modulated,22,atom_v,2,1,20260818;5301;25;1;2;22;2;1
dpfi,25,connected_modulated,22,blank_h,3,0,20260818;5301;25;1;2;22;3;0
dpfi,25,connected_modulated,22,blank_v,4,0,20260818;5301;25;1;2;22;4;0
dpfi,25,connected_modulated,22,dark_h,5,0,20260818;5301;25;1;2;22;5;0
dpfi,25,connected_modulated,22,dark_v,6,0,20260818;5301;25;1;2;22;6;0
dpfi,25,connected_modulated,23,atom_h,1,1,20260818;5301;25;1;2;23;1;1
dpfi,25,connected_modulated,23,atom_v,2,1,20260818;5301;25;1;2;23;2;1
dpfi,25,connected_modulated,23,blank_h,3,0,20260818;5301;25;1;2;23;3;0
dpfi,25,connected_modulated,23,blank_v,4,0,20260818;5301;25;1;2;23;4;0
dpfi,25,connected_modulated,23,dark_h,5,0,20260818;5301;25;1;2;23;5;0
dpfi,25,connected_modulated,23,dark_v,6,0,20260818;5301;25;1;2;23;6;0
dpfi,25,connected_modulated,24,atom_h,1,1,20260818;5301;25;1;2;24;1;1
dpfi,25,connected_modulated,24,atom_v,2,1,20260818;5301;25;1;2;24;2;1
dpfi,25,connected_modulated,24,blank_h,3,0,20260818;5301;25;1;2;24;3;0
dpfi,25,connected_modulated,24,blank_v,4,0,20260818;5301;25;1;2;24;4;0
dpfi,25,connected_modulated,24,dark_h,5,0,20260818;5301;25;1;2;24;5;0
dpfi,25,connected_modulated,24,dark_v,6,0,20260818;5301;25;1;2;24;6;0
dpfi,25,connected_modulated,25,atom_h,1,1,20260818;5301;25;1;2;25;1;1
dpfi,25,connected_modulated,25,atom_v,2,1,20260818;5301;25;1;2;25;2;1
dpfi,25,connected_modulated,25,blank_h,3,0,20260818;5301;25;1;2;25;3;0
dpfi,25,connected_modulated,25,blank_v,4,0,20260818;5301;25;1;2;25;4;0
