pulse_duration_us,method,state,image_snr,count_scale_electrons_per_i0_pixel
25,pci,smooth_bec,19.25800282677606,28.666231564336314
25,pci,connected_modulated,21.63730077108463,28.666231564336314
25,pci,separated_droplets,19.27806274871436,28.666231564336314
25,dgi,smooth_bec,18.340538923194064,28.666231564336314
25,dgi,connected_modulated,25.291394803813894,28.666231564336314
25,dgi,separated_droplets,23.770658698698362,28.666231564336314
25,dffi,smooth_bec,11.871056058334364,28.666231564336314
25,dffi,connected_modulated,18.848495196743357,28.666231564336314
25,dffi,separated_droplets,17.967802558734085,28.666231564336314
25,dpfi,smooth_bec,27.322328544710135,28.666231564336314
25,dpfi,connected_modulated,28.865244556764004,28.666231564336314
25,dpfi,separated_droplets,24.438605696845233,28.666231564336314
50,pci,smooth_bec,27.35577566568047,57.33246312867263
50,pci,connected_modulated,30.75121736015062,57.33246312867263
50,pci,separated_droplets,27.396480150566916,57.33246312867263
50,dgi,smooth_bec,27.732256005059824,57.33246312867263
50,dgi,connected_modulated,36.56472021956574,57.33246312867263
50,dgi,separated_droplets,34.37397586982964,57.33246312867263
50,dffi,smooth_bec,18.66901103861181,57.33246312867263
50,dffi,connected_modulated,27.610933977489957,57.33246312867263
50,dffi,separated_droplets,26.277995454364213,57.33246312867263
50,dpfi,smooth_bec,39.27896928074565,57.33246312867263
50,dpfi,connected_modulated,41.52472350046813,57.33246312867263
50,dpfi,separated_droplets,35.211443372490386,57.33246312867263
75,pci,smooth_bec,33.553621198148065,85.99869469300893
75,pci,connected_modulated,37.72484534284113,85.99869469300893
75,pci,separated_droplets,33.60860765689989,85.99869469300893
75,dgi,smooth_bec,34.88172979010227,85.99869469300893
75,dgi,connected_modulated,45.16209873300408,85.99869469300893
75,dgi,separated_droplets,42.46151381560701,85.99869469300893
75,dffi,smooth_bec,23.89338309779932,85.99869469300893
75,dffi,connected_modulated,34.27986224411277,85.99869469300893
75,dffi,separated_droplets,32.611642471106535,85.99869469300893
75,dpfi,smooth_bec,48.37650151502714,85.99869469300893
75,dpfi,connected_modulated,51.15427825176197,85.99869469300893
75,dpfi,separated_droplets,43.40060231942189,85.99869469300893
100,pci,smooth_bec,38.7732184794204,114.66492625734526
100,pci,connected_modulated,43.597090248089444,114.66492625734526
100,pci,separated_droplets,38.83969699123363,114.66492625734526
100,dgi,smooth_bec,40.87294802902871,114.66492625734526
100,dgi,connected_modulated,52.38766749643089,114.66492625734526
100,dgi,separated_droplets,49.257911500954656,114.66492625734526
100,dffi,smooth_bec,28.279796159451468,114.66492625734526
100,dffi,connected_modulated,39.87733479548692,114.66492625734526
100,dffi,separated_droplets,37.93009406609112,114.66492625734526
100,dpfi,smooth_bec,56.018111367063,114.66492625734526
100,dpfi,connected_modulated,59.24166618712719,114.66492625734526
100,dpfi,separated_droplets,50.27611170466373,114.66492625734526
125,pci,smooth_bec,43.36915315461088,143.33115782168156
125,pci,connected_modulated,48.76735518906826,143.33115782168156
125,pci,separated_droplets,43.44548898461572,143.33115782168156
125,dgi,smooth_bec,46.12855794142824,143.33115782168156
125,dgi,connected_modulated,58.741199398852174,143.33115782168156
125,dgi,separated_droplets,55.23354534431271,143.33115782168156
125,dffi,smooth_bec,32.12828002361246,143.33115782168156
125,dffi,connected_modulated,44.79504138874934,143.33115782168156
125,dffi,separated_droplets,42.603413154285604,143.33115782168156
125,dpfi,smooth_bec,62.736686890631226,143.33115782168156
125,dpfi,connected_modulated,66.3516074378657,143.33115782168156
125,dpfi,separated_droplets,56.31952472970645,143.33115782168156
150,pci,smooth_bec,47.52269378501699,171.99738938601786
150,pci,connected_modulated,53.43974890347882,171.99738938601786
150,pci,separated_droplets,47.60778739342031,171.99738938601786
150,dgi,smooth_bec,50.86461420493199,171.99738938601786
150,dgi,connected_modulated,64.47745282595774,171.99738938601786
150,dgi,separated_droplets,60.628300547916176,171.99738938601786
150,dffi,smooth_bec,35.595104646854416,171.99738938601786
150,dffi,connected_modulated,49.23227781020337,171.99738938601786
150,dffi,separated_droplets,46.820388334977984,171.99738938601786
150,dpfi,smooth_bec,68.80273058352701,171.99738938601786
150,dpfi,connected_modulated,72.77067030264845,171.99738938601786
150,dpfi,separated_droplets,61.775029861693326,171.99738938601786
175,pci,smooth_bec,51.341314278218114,200.66362095035416
175,pci,connected_modulated,57.73526143336845,200.66362095035416
175,pci,separated_droplets,51.43436336419141,200.66362095035416
175,dgi,smooth_bec,55.20886935792429,200.66362095035416
175,dgi,connected_modulated,69.74714988268924,200.66362095035416
175,dgi,separated_droplets,65.5840925663078,200.66362095035416
175,dffi,smooth_bec,38.773542037224125,200.66362095035416
175,dffi,connected_modulated,53.306753557790344,200.66362095035416
175,dffi,separated_droplets,50.69269274561104,200.66362095035416
175,dpfi,smooth_bec,74.37590047325476,200.66362095035416
175,dpfi,connected_modulated,78.66795805948226,200.66362095035416
175,dpfi,separated_droplets,66.78665014122201,200.66362095035416
200,pci,smooth_bec,54.89494874308003,229.32985251469051
200,pci,connected_modulated,61.73261051830112,229.32985251469051
200,pci,separated_droplets,54.99533552427349,229.32985251469051
200,dgi,smooth_bec,59.24418599769786,229.32985251469051
200,dgi,connected_modulated,74.64819918105337,229.32985251469051
200,dgi,separated_droplets,70.19309152671886,229.32985251469051
200,dffi,smooth_bec,41.72439876500029,229.32985251469051
200,dffi,connected_modulated,57.09482973927021,229.32985251469051
200,dffi,separated_droplets,54.29283481925846,229.32985251469051
200,dpfi,smooth_bec,79.55975981916528,229.32985251469051
200,dpfi,connected_modulated,84.15314321465617,229.32985251469051
200,dpfi,separated_droplets,71.44775813142076,229.32985251469051
225,pci,smooth_bec,58.23212792476737,257.9960840790268
225,pci,connected_modulated,65.4864165306304,257.9960840790268
225,pci,separated_droplets,58.339358171562985,257.9960840790268
225,dgi,smooth_bec,63.027885802436415,257.9960840790268
225,dgi,connected_modulated,79.24844794387346,257.9960840790268
225,dgi,separated_droplets,74.51915456939487,257.9960840790268
225,dffi,smooth_bec,44.489859619102575,257.9960840790268
225,dffi,connected_modulated,60.649366647280964,257.9960840790268
225,dffi,separated_droplets,57.67103280811432,257.9960840790268
225,dpfi,smooth_bec,84.42600843383298,257.9960840790268
225,dpfi,connected_modulated,89.3021460198768,257.9960840790268
225,dpfi,separated_droplets,75.82297257016313,257.9960840790268
250,pci,smooth_bec,61.38816159212391,286.6623156433631
250,pci,connected_modulated,69.03641670233948,286.6623156433631
250,pci,separated_droplets,61.5018284772974,286.6623156433631
250,dgi,smooth_bec,66.60155297746611,286.6623156433631
250,dgi,connected_modulated,83.59720024897427,286.6623156433631
250,dgi,separated_droplets,78.60867730229609,286.6623156433631
250,dffi,smooth_bec,47.1005774491358,286.6623156433631
250,dffi,connected_modulated,64.0087458876384,286.6623156433631
250,dffi,separated_droplets,60.863759957284906,286.6623156433631
250,dpfi,smooth_bec,89.02671926070542,286.6623156433631
250,dpfi,connected_modulated,94.17009934798352,286.6623156433631
250,dpfi,separated_droplets,79.95920897036538,286.6623156433631
275,pci,smooth_bec,64.38969086038267,315.3285472076994
275,pci,connected_modulated,72.41259075384085,315.3285472076994
275,pci,separated_droplets,64.50945201970049,315.3285472076994
275,dgi,smooth_bec,69.99647927243645,315.3285472076994
275,dgi,connected_modulated,87.73161656813595,315.3285472076994
275,dgi,separated_droplets,82.49662241824915,315.3285472076994
275,dffi,smooth_bec,49.57963889713774,315.3285472076994
275,dffi,connected_modulated,67.2018765522332,315.3285472076994
275,dffi,separated_droplets,63.898491877520335,315.3285472076994
275,dpfi,smooth_bec,93.40112478440516,315.3285472076994
275,dpfi,connected_modulated,98.79853790932133,315.3285472076994
275,dpfi,separated_droplets,83.89180519760752,315.3285472076994
300,pci,smooth_bec,67.25740388936673,343.9947787720357
300,pci,connected_modulated,75.63821824357022,343.9947787720357
300,pci,separated_droplets,67.38296608621135,343.9947787720357
300,dgi,smooth_bec,73.23690567877071,343.9947787720357
300,dgi,connected_modulated,91.68052695193845,343.9947787720357
300,dgi,separated_droplets,86.21011128842954,343.9947787720357
300,dffi,smooth_bec,51.94493670756487,343.9947787720357
300,dffi,connected_modulated,70.25117486465241,343.9947787720357
300,dffi,separated_droplets,66.79653459809661,343.9947787720357
300,dpfi,smooth_bec,97.57965533466886,343.9947787720357
300,dpfi,connected_modulated,103.21967571279396,343.9947787720357
300,dpfi,separated_droplets,87.64816504240324,343.9947787720357
