observable,quantity,information_level,point,central_16,central_84,post_freeze_generator,truth_independent_reporting_scale,reporting_metric,point_in_reporting_scales,point_outside_central_span,conditional_refit_draws
A,q1,unresolved,22838.123289175899,24634.466842980353,27155.508457304222,18295.424684557212,2283.8123289175901,absolute_linear_discrepancy,1.9890857699203739,true,64
A,q2,unresolved,20463.735561998205,21982.956528069306,24329.269875697137,16720.562954981895,2283.8123289175901,absolute_linear_discrepancy,1.6390018389954053,true,64
A,delta_21,prior_sensitive,-2374.3877271776946,-4387.7920170628577,-862.54975975310572,-1574.8617295753174,2283.8123289175901,absolute_linear_discrepancy,-0.35008393092496853,false,64
A,ratio_21,prior_sensitive,0.89603402621514738,0.83996794892845805,0.96535287264393399,0.91392046062179544,0.13976194237515863,absolute_log_ratio,-0.14142016060565976,false,64
y_c_um,q1,unresolved,-1.346465852516457,-1.4611700422421985,-0.10908962020844526,-8.3914270554992352e-20,0.65000000000000002,absolute_linear_discrepancy,-2.0714859269483954,false,64
y_c_um,q2,prior_sensitive,-1.0691327363316869,-1.3061717504814327,0.32347802820782046,-8.865177935013078e-20,0.65000000000000002,absolute_linear_discrepancy,-1.6448195943564414,false,64
y_c_um,delta_21,unresolved,0.27733311618477008,-0.97871024177499777,1.2826820422888525,-4.7375087951384278e-21,0.65000000000000002,absolute_linear_discrepancy,0.42666633259195397,false,64
z_c_um,q1,informative_but_inconclusive,-0.1111085134821172,-0.19556646109019263,0.012045108159615287,-7.4076045731303586e-18,0.65000000000000002,absolute_linear_discrepancy,-0.17093617458787258,false,64
z_c_um,q2,informative_but_inconclusive,-0.088342078185442791,-0.16861039527305405,0.062208652580822074,-1.2968488864933417e-17,0.65000000000000002,absolute_linear_discrepancy,-0.13591088951606581,false,64
z_c_um,delta_21,informative_but_inconclusive,0.022766435296674409,-0.11859885058907522,0.17205626763654697,-5.560884291803058e-18,0.65000000000000002,absolute_linear_discrepancy,0.035025285071806793,false,64
sigma_y_um,q1,prior_sensitive,9.940392523906727,10.514769510436965,11.639950907387227,6.348825840758769,1.4993655767030551,absolute_linear_discrepancy,2.3953909166338403,true,64
sigma_y_um,q2,unresolved,9.995770511353701,10.278124789334099,11.751843170131634,6.2357028137945489,1.4993655767030551,absolute_linear_discrepancy,2.5077724578865812,true,64
sigma_y_um,delta_21,unresolved,0.055377987446973975,-1.1173175786317702,0.98982686599775294,-0.11312302696422005,1.4993655767030551,absolute_linear_discrepancy,0.11238154125274089,false,64
sigma_y_um,ratio_21,unresolved,1.0055710061060255,0.90314328607093486,1.0925241327960813,0.98218205542228254,0.13976194237515863,absolute_log_ratio,0.16838733327272903,false,64
sigma_z_um,q1,prior_sensitive,1.2444703567138364,1.4005043994583646,1.5995195376088138,0.32458644624859662,0.65000000000000002,absolute_linear_discrepancy,1.415206016100369,true,64
sigma_z_um,q2,unresolved,1.3932637579774829,1.4747889146424875,1.6973820386768894,0.3187721192053421,0.65000000000000002,absolute_linear_discrepancy,1.6530640596494475,true,64
sigma_z_um,delta_21,informative_but_inconclusive,0.14879340126364649,-0.082619471722675683,0.2752667936263089,-0.0058143270432545191,0.65000000000000002,absolute_linear_discrepancy,0.23785804354907847,false,64
sigma_z_um,ratio_21,prior_sensitive,1.1195636364184296,0.9464067788868179,1.1973265001633355,0.98208696909420112,0.13976194237515863,absolute_log_ratio,0.93741120178186832,false,64
aspect_ratio_y_over_z,q1,unresolved,7.9876490992967071,7.0250324952404677,7.7723002193186259,19.559737980852979,0.18232155679395459,absolute_log_ratio,-4.9120729248658908,true,64
aspect_ratio_y_over_z,q2,unresolved,7.1743562223020563,6.5129266775345673,7.5743411658476552,19.561631767983204,0.18232155679395459,absolute_log_ratio,-5.5015823141322491,false,64
aspect_ratio_y_over_z,delta_21,unresolved,-0.8132928769946508,-1.125472511912545,0.097412471307474116,0.0018937871302249221,,absolute_linear_discrepancy,,false,64
aspect_ratio_y_over_z,ratio_21,unresolved,0.89818119613363345,0.85346690200249009,1.0131370311216308,1.000096820679913,0.18232155679395459,absolute_log_ratio,-0.58950938926635843,false,64
