method,state,display_label,duration_us,draw_id,eta_hat,eta_truth,d_peak_hat_um,d_peak_truth_um,nu_vp_hat,nu_vp_truth,nuisance_censored,d_peak_supported,nu_vp_supported
dgi,connected_modulated,SSP,25,0,0.7844794813080465,1.0,2.7935550574845003,2.751540046488,0.606855898489984,0.6494770333465083,True,False,False
dgi,connected_modulated,SSP,25,1,0.9474344795120138,1.0,2.8011339376690003,2.751540046488,0.6321325514896255,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,2,1.2814161873260956,1.0,2.7404244879795,2.751540046488,0.6940002421602667,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,3,0.7747779204680861,1.0,2.768639275761,2.751540046488,0.6249790367398669,0.6494770333465083,True,False,False
dgi,connected_modulated,SSP,25,4,0.7400525398931453,1.0,2.701807299714,2.751540046488,0.6056237034350316,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,5,1.0776854918771677,1.0,2.8504981806879996,2.751540046488,0.5981947059473047,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,6,1.2281022191840596,1.0,2.731145783214,2.751540046488,0.6354902107455564,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,7,0.7972289636241779,1.0,2.738634432299,2.751540046488,0.6560046118355702,0.6494770333465083,True,False,False
dgi,connected_modulated,SSP,25,8,0.8026509183235782,1.0,2.7858914228985,2.751540046488,0.7412689869342144,0.6494770333465083,False,True,False
dgi,connected_modulated,SSP,25,9,1.1205712014038163,1.0,2.7695157824315,2.751540046488,0.6236118945649998,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,10,1.1504855448094062,1.0,2.7502948319725,2.751540046488,0.6254208252613043,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,11,1.1438237013499033,1.0,2.7528303518259998,2.751540046488,0.6253552525948852,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,12,1.2980060063696308,1.0,2.817734716555,2.751540046488,0.5047393880461529,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,13,0.8017640215211063,1.0,2.738291358194,2.751540046488,0.6263280708512874,0.6494770333465083,True,False,False
dgi,connected_modulated,SSP,25,14,1.1765230592343763,1.0,2.7056293809835,2.751540046488,0.6100409718534272,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,15,1.295931323058937,1.0,2.741033163814,2.751540046488,0.6730905294535092,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,16,0.7871177701849859,1.0,2.808501996756,2.751540046488,0.6332582394310704,0.6494770333465083,True,False,False
dgi,connected_modulated,SSP,25,17,1.0844685463401729,1.0,2.8418056076680003,2.751540046488,0.6136067279126661,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,18,0.8125958313453465,1.0,2.71875953339,2.751540046488,0.6588981907856173,0.6494770333465083,False,True,True
dgi,connected_modulated,SSP,25,19,0.8216485272470431,1.0,2.736842470979,2.751540046488,0.6643483524726056,0.6494770333465083,False,True,True
