method,duration_us,state,draw_id,role,role_id,frame_id,seed_tuple
dgi,25,connected_modulated,12,open_reference,4,0,20260818;5301;25;1;1;12;4;0
dgi,25,connected_modulated,12,open_dark,5,0,20260818;5301;25;1;1;12;5;0
dgi,25,connected_modulated,13,atom_stop,1,1,20260818;5301;25;1;1;13;1;1
dgi,25,connected_modulated,13,leakage_stop,2,0,20260818;5301;25;1;1;13;2;0
dgi,25,connected_modulated,13,stop_dark,3,0,20260818;5301;25;1;1;13;3;0
dgi,25,connected_modulated,13,open_reference,4,0,20260818;5301;25;1;1;13;4;0
dgi,25,connected_modulated,13,open_dark,5,0,20260818;5301;25;1;1;13;5;0
dgi,25,connected_modulated,14,atom_stop,1,1,20260818;5301;25;1;1;14;1;1
dgi,25,connected_modulated,14,leakage_stop,2,0,20260818;5301;25;1;1;14;2;0
dgi,25,connected_modulated,14,stop_dark,3,0,20260818;5301;25;1;1;14;3;0
dgi,25,connected_modulated,14,open_reference,4,0,20260818;5301;25;1;1;14;4;0
dgi,25,connected_modulated,14,open_dark,5,0,20260818;5301;25;1;1;14;5;0
dgi,25,connected_modulated,15,atom_stop,1,1,20260818;5301;25;1;1;15;1;1
dgi,25,connected_modulated,15,leakage_stop,2,0,20260818;5301;25;1;1;15;2;0
dgi,25,connected_modulated,15,stop_dark,3,0,20260818;5301;25;1;1;15;3;0
dgi,25,connected_modulated,15,open_reference,4,0,20260818;5301;25;1;1;15;4;0
dgi,25,connected_modulated,15,open_dark,5,0,20260818;5301;25;1;1;15;5;0
dgi,25,connected_modulated,16,atom_stop,1,1,20260818;5301;25;1;1;16;1;1
dgi,25,connected_modulated,16,leakage_stop,2,0,20260818;5301;25;1;1;16;2;0
dgi,25,connected_modulated,16,stop_dark,3,0,20260818;5301;25;1;1;16;3;0
dgi,25,connected_modulated,16,open_reference,4,0,20260818;5301;25;1;1;16;4;0
dgi,25,connected_modulated,16,open_dark,5,0,20260818;5301;25;1;1;16;5;0
dgi,25,connected_modulated,17,atom_stop,1,1,20260818;5301;25;1;1;17;1;1
dgi,25,connected_modulated,17,leakage_stop,2,0,20260818;5301;25;1;1;17;2;0
dgi,25,connected_modulated,17,stop_dark,3,0,20260818;5301;25;1;1;17;3;0
dgi,25,connected_modulated,17,open_reference,4,0,20260818;5301;25;1;1;17;4;0
dgi,25,connected_modulated,17,open_dark,5,0,20260818;5301;25;1;1;17;5;0
dgi,25,connected_modulated,18,atom_stop,1,1,20260818;5301;25;1;1;18;1;1
dgi,25,connected_modulated,18,leakage_stop,2,0,20260818;5301;25;1;1;18;2;0
dgi,25,connected_modulated,18,stop_dark,3,0,20260818;5301;25;1;1;18;3;0
dgi,25,connected_modulated,18,open_reference,4,0,20260818;5301;25;1;1;18;4;0
dgi,25,connected_modulated,18,open_dark,5,0,20260818;5301;25;1;1;18;5;0
dgi,25,connected_modulated,19,atom_stop,1,1,20260818;5301;25;1;1;19;1;1
dgi,25,connected_modulated,19,leakage_stop,2,0,20260818;5301;25;1;1;19;2;0
dgi,25,connected_modulated,19,stop_dark,3,0,20260818;5301;25;1;1;19;3;0
dgi,25,connected_modulated,19,open_reference,4,0,20260818;5301;25;1;1;19;4;0
dgi,25,connected_modulated,19,open_dark,5,0,20260818;5301;25;1;1;19;5;0
dgi,25,connected_modulated,20,atom_stop,1,1,20260818;5301;25;1;1;20;1;1
dgi,25,connected_modulated,20,leakage_stop,2,0,20260818;5301;25;1;1;20;2;0
dgi,25,connected_modulated,20,stop_dark,3,0,20260818;5301;25;1;1;20;3;0
dgi,25,connected_modulated,20,open_reference,4,0,20260818;5301;25;1;1;20;4;0
dgi,25,connected_modulated,20,open_dark,5,0,20260818;5301;25;1;1;20;5;0
dgi,25,connected_modulated,21,atom_stop,1,1,20260818;5301;25;1;1;21;1;1
dgi,25,connected_modulated,21,leakage_stop,2,0,20260818;5301;25;1;1;21;2;0
dgi,25,connected_modulated,21,stop_dark,3,0,20260818;5301;25;1;1;21;3;0
dgi,25,connected_modulated,21,open_reference,4,0,20260818;5301;25;1;1;21;4;0
dgi,25,connected_modulated,21,open_dark,5,0,20260818;5301;25;1;1;21;5;0
dgi,25,connected_modulated,22,atom_stop,1,1,20260818;5301;25;1;1;22;1;1
dgi,25,connected_modulated,22,leakage_stop,2,0,20260818;5301;25;1;1;22;2;0
dgi,25,connected_modulated,22,stop_dark,3,0,20260818;5301;25;1;1;22;3;0
dgi,25,connected_modulated,22,open_reference,4,0,20260818;5301;25;1;1;22;4;0
dgi,25,connected_modulated,22,open_dark,5,0,20260818;5301;25;1;1;22;5;0
