pulse_duration_us,image_q,method,count_scale_electrons_per_i0_pixel,whole_image_template_snr,signal_l2_norm,minimum_variance,maximum_variance,summed_variance,minimum_denominator_electrons,maximum_expected_plus_6sigma_electrons
25,1,dgi,28.666231564336307,18.34053892319406,1.4273230827148098,0.001199546436700926,0.009669490512783051,2.1550733266796156,28.666231564336307,61.064137921323436
25,1,dpfi,28.666231564336307,27.322328544710132,5.735650618194912,0.0372229908198323,0.05015969774481153,46.09295986803123,28.666231564336307,61.064137921323436
25,2,dgi,28.666231564336307,18.29323288512575,1.4215166002441106,0.0011995464377496186,0.009634967228807708,2.151554997855994,28.666231564336307,61.064137921323436
25,2,dpfi,28.666231564336307,27.268955979031634,5.723060586203871,0.03722295987842021,0.05011958104801631,46.08797955630803,28.666231564336307,61.064137921323436
25,3,dgi,28.666231564336307,18.245932608707612,1.4157228722181276,0.0011995464394747816,0.009600532377216685,2.148048519274041,28.666231564336307,61.064137921323436
25,3,dpfi,28.666231564336307,27.21556412327189,5.710472602316407,0.037222932557803325,0.05007949050713945,46.08301129347461,28.666231564336307,61.064137921323436
25,4,dgi,28.666231564336307,18.198637430487594,1.4099417955610714,0.0011995464418083988,0.009566185150776155,2.144553812238585,28.666231564336307,61.064137921323436
25,4,dpfi,28.666231564336307,27.16215226874793,5.697886496790654,0.03722290893694099,0.05003942554887027,46.07805500964412,28.666231564336307,61.064137921323436
25,5,dgi,28.666231564336307,18.151346400343215,1.404173219086534,0.0011995464447574023,0.009531924315260483,2.1410707802593505,28.666231564336307,61.064137921323436
25,5,dpfi,28.666231564336307,27.10871954801036,5.685302048273982,0.03722288891266539,0.049999385098558426,46.07311061830612,28.666231564336307,61.064137921323436
25,6,dgi,28.666231564336307,18.104059143011607,1.398417052024639,0.0011995464482881944,0.009497748892010218,2.137599367823217,28.666231564336307,61.064137921323436
25,6,dpfi,28.666231564336307,27.05526576827082,5.672719191319281,0.03722287247974123,0.04995936839128549,46.068178100910025,28.666231564336307,61.064137921323436
25,7,dgi,28.666231564336307,18.056776950366885,1.3926735080403005,0.0011995464523673813,0.009463660816666475,2.1341396363721143,28.666231564336307,61.064137921323436
25,7,dpfi,28.666231564336307,27.001791745448628,5.660138177673533,0.037222859632664806,0.049919377980166504,46.063257538620576,28.666231564336307,61.064137921323436
25,8,dgi,28.666231564336307,18.00950055163864,1.3869426396390023,0.0011995464541148424,0.009429660035083465,2.130691606712541,28.666231564336307,61.064137921323436
25,8,dpfi,28.666231564336307,26.948298326377884,5.647559199032118,0.037222850208158624,0.0498794141660906,46.05834899782485,28.666231564336307,61.064137921323436
25,9,dgi,28.666231564336307,17.96222914709662,1.381224315867959,0.0011995464490452948,0.009395745466166934,2.1272551933969233,28.666231564336307,61.064137921323436
25,9,dpfi,28.666231564336307,26.894784812015207,5.634982076768181,0.03722284431591893,0.04983947606609888,46.05345241918786,28.666231564336307,61.064137921323436
25,10,dgi,28.666231564336307,17.914961757218272,1.3755183990803967,0.0011995464448275328,0.00936191615698445,2.123830300154664,28.666231564336307,61.064137921323436
25,10,dpfi,28.666231564336307,26.84125019716892,5.6224065659759175,0.0372228418903295,0.04979956288503754,46.04856770050018,28.666231564336307,61.064137921323436
25,11,dgi,28.666231564336307,17.867699255995237,1.3698250229975861,0.0011995464414140664,0.009328173229006781,2.120416957435761,28.666231564336307,61.064137921323436
25,11,dpfi,28.666231564336307,26.78769502968941,5.6098328355578255,0.03722284276028956,0.04975967626780924,46.043694894831354,28.666231564336307,61.064137921323436
25,12,dgi,28.666231564336307,17.820440763898755,1.3641439950235799,0.0011995464388100908,0.009294514638283555,2.1170150752100256,28.666231564336307,61.064137921323436
25,12,dpfi,28.666231564336307,26.73411887424784,5.597260733023588,0.03722284714495438,0.0497198142232331,46.03883396031141,28.666231564336307,61.064137921323436
25,13,dgi,28.666231564336307,17.773183985329105,1.3584751042651313,0.0011995464369991943,0.00926093989500536,2.113624455015615,28.666231564336307,61.064137921323436
25,13,dpfi,28.666231564336307,26.680518351840583,5.584689530559395,0.03722285480152186,0.04967997640498832,46.03398458339717,28.666231564336307,61.064137921323436
25,14,dgi,28.666231564336307,17.72593354863101,1.3528188377715378,0.001199546435941916,0.00922745116107732,2.1102454044564505,28.666231564336307,61.064137921323436
25,14,dpfi,28.666231564336307,26.62689920098818,5.57212053506123,0.03722286570810738,0.049640165804891265,46.02914728873688,28.666231564336307,61.064137921323436
25,15,dgi,28.666231564336307,17.678688204690786,1.3471750441265002,0.0011995464356577903,0.009194047626572732,2.1068778066485416,28.666231564336307,61.064137921323436
25,15,dpfi,28.666231564336307,26.57325993955727,5.559553405759281,0.0372228800499806,0.04960038177988758,46.02432193921598,28.666231564336307,61.064137921323436
50,1,dgi,57.332463128672615,27.73225600505982,1.4273230827148098,0.00030163004143696676,0.004524555178520224,0.7170704562655141,57.332463128672615,102.95711296439424
50,1,dpfi,57.332463128672615,39.27896928074564,5.735650618194912,0.018013909508921618,0.024272258217331536,22.307145862511227,57.332463128672615,102.95711296439424
50,2,dgi,57.332463128672615,27.598290643568152,1.4157228722181276,0.00030163004282389466,0.004490243056102927,0.7135678853042874,57.332463128672615,102.95711296439424
